施設ID,施設名,電話番号,郵便番号,都道府県,市区町村,住所,web,GoogleMap,ランク,カテゴリ,緯度,経度,施設GID,営業ステータス
203130,ロイヤルマリッジ,,,,,,,"https://www.google.com/maps/place/%E3%83%AD%E3%82%A4%E3%83%A4%E3%83%AB%E3%83%9E%E3%83%AA%E3%83%83%E3%82%B8/@34.6987832,135.4968411,17z/data=!3m1!4b1!4m6!3m5!1s0x6000e2cfeb9f9daf:0x8eb9dda76a18ba2f!8m2!3d34.6987788!4d135.499416!16s%2Fg%2F1pp2wx55p?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJr52f68_iAGARL7oYaqfduY4,
200706,お見合いマリッジハート,,,,,,,"https://www.google.com/maps/place/%E3%83%9E%E3%83%AA%E3%83%83%E3%82%B8%E3%83%8F%E3%83%BC%E3%83%88%F0%9F%92%95%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80%E3%81%8A%E8%A6%8B%E5%90%88%E3%81%84/@34.2686027,135.4058889,17z/data=!3m1!4b1!4m6!3m5!1s0x600733b6f6610c57:0x9f64ccf55cbec9ed!8m2!3d34.2686027!4d135.4058889!16s%2Fg%2F1tsljp7w?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJVwxh9rYzB2AR7cm-XPXMZJ8,
200835,名古屋婚活,,,,,,,"https://www.google.com/maps/place/%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%A9%9A%E6%B4%BB/@35.1723889,136.8871316,17z/data=!3m1!4b1!4m6!3m5!1s0x600376ef65176f8f:0x73abd274fe14dae3!8m2!3d35.1723889!4d136.8871316!16s%2Fg%2F1tk4r29m?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJj28XZe92A2AR49oU_nTSq3M,
203321,アイアイブライダル,,,,,,,"https://www.google.com/maps/place/%E3%82%A2%E3%82%A4%E3%82%A2%E3%82%A4%E3%83%96%E3%83%A9%E3%82%A4%E3%83%80%E3%83%AB/@34.6367206,135.6265074,17z/data=!3m1!4b1!4m6!3m5!1s0x600121a9ed5aa3e7:0x6bfde1137ba5593e!8m2!3d34.6367206!4d135.6265074!16s%2Fg%2F1tgf33kg?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJ56Na7akhAWARPlmlexPh_Ws,
202387,岡山県出会いと結婚サポートのNPO和(なごみ),,,,,,,"https://www.google.com/maps/place/%E7%89%B9%E5%AE%9A%E9%9D%9E%E5%96%B6%E5%88%A9%E6%B4%BB%E5%8B%95%E6%B3%95%E4%BA%BA+%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%87%BA%E4%BC%9A%E3%81%84%E3%81%A8%E7%B5%90%E5%A9%9A%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E3%81%AENPO%E3%83%BB%E5%92%8C(%E3%81%AA%E3%81%94%E3%81%BF)/@34.6658295,133.9209112,17z/data=!3m1!4b1!4m6!3m5!1s0x3554064be6d5e465:0xf829d5a33ea4e349!8m2!3d34.6658295!4d133.9209112!16s%2Fg%2F11h5dn1hvz?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJZeTV5ksGVDURSeOkPqPVKfg,
203217,岡山県仲人協会,,,,,,,"https://www.google.com/maps/place/%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80+%E5%B2%A1%E5%B1%B1%E7%9C%8C%E4%BB%B2%E4%BA%BA%E5%8D%94%E4%BC%9A/@34.6564847,133.9115834,17z/data=!3m1!4b1!4m6!3m5!1s0x355407a58d055769:0xa11f2066cb20d115!8m2!3d34.6564847!4d133.9115834!16s%2Fg%2F1thzrm5p?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJaVcFjaUHVDURFdEgy2YgH6E,
202294,パルティール,,,,,,,"https://www.google.com/maps/place/%E3%83%91%E3%83%AB%E3%83%86%E3%82%A3%E3%83%BC%E3%83%AB%E5%B2%A1%E5%B1%B1/@34.662118,133.933303,17z/data=!3m1!4b1!4m6!3m5!1s0x35540631c5cba155:0x7818a741358658d1!8m2!3d34.662118!4d133.933303!16s%2Fg%2F11b6d5kx6w?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJVaHLxTEGVDUR0ViGNUGnGHg,
202678,岡山の結婚相談所カゼミチ,,,,,,,"https://www.google.com/maps/place/%E5%A9%9A%E6%B4%BB%E2%80%A2%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80+%E3%82%AB%E3%82%BC%E3%83%9F%E3%83%81%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE+%E3%81%8A%E8%A6%8B%E5%90%88%E3%81%84%E3%83%AB%E3%83%BC%E3%83%A0/@34.6623468,133.9275651,17z/data=!3m1!4b1!4m6!3m5!1s0x3554064e91e285e5:0xab3176f06607fd2a!8m2!3d34.6623468!4d133.9275651!16s%2Fg%2F1v82zy12?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJ5YXikU4GVDURKv0HZvB2Mas,
201652,京都縁結び倶楽部,,,,,,,"https://www.google.com/maps/place/%E4%BA%AC%E9%83%BD%E7%B8%81%E7%B5%90%E3%81%B3%E5%80%B6%E6%A5%BD%E9%83%A8/@34.994818,135.7600582,17z/data=!3m1!4b1!4m6!3m5!1s0x600108a36dd56445:0xca8d6c71673e2091!8m2!3d34.994818!4d135.7600582!16s%2Fg%2F11b7qqskjm?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJRWTVbaMIAWARkSA-Z3Fsjco,
201285,たんぽぽ,,,,,,,"https://www.google.com/maps/place/%E9%96%8B%E6%88%90%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AA%EF%BC%88%E3%81%9F%E3%82%93%E3%81%BD%E3%81%BD%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80%EF%BC%89/@37.3922095,140.3552921,17z/data=!3m1!4b1!4m6!3m5!1s0x60206d2abdfb7549:0x67abb0c86a42a2cc!8m2!3d37.3922095!4d140.3552921!16s%2Fg%2F11sg_09t19?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJSXX7vSptIGARzKJCasiwq2c,
202059,えん,,,,,,,"https://www.google.com/maps/place/%E3%81%88%E3%82%93%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80/@34.7972041,135.5353216,17z/data=!3m1!4b1!4m6!3m5!1s0x6000e3455ae5f1fb:0x244954cf6cfe9ead!8m2!3d34.7972041!4d135.5353216!16s%2Fg%2F1vq9m54h?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJ-_HlWkXjAGARrZ7-bM9USSQ,
202551,イーガーマリッジ,,,,,,,"https://www.google.com/maps/place/%E3%82%A4%E3%83%BC%E3%82%AC%E3%83%BC%E3%83%9E%E3%83%AA%E3%83%83%E3%82%B8/@34.7856642,135.463179,17z/data=!3m1!4b1!4m6!3m5!1s0x6000fabbe84144bf:0x153d81fc2f304cdc!8m2!3d34.7856642!4d135.463179!16s%2Fg%2F1pp2wxclj?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJv0RB6Lv6AGAR3EwwL_yBPRU,
202461,ドクターズコンシェルリンク大阪,,,,,,,"https://www.google.com/maps/place/%E3%83%89%E3%82%AF%E3%82%BF%E3%83%BC%E3%82%BA%E3%82%B3%E3%83%B3%E3%82%B7%E3%82%A7%E3%83%AB%E3%83%AA%E3%83%B3%E3%82%AF%E5%A4%A7%E9%98%AA/@34.699859,135.498796,17z/data=!3m1!4b1!4m6!3m5!1s0x6000e68fdfbae4ab:0xdc7b79cf34f4faf4!8m2!3d34.699859!4d135.498796!16s%2Fg%2F1tf_srqn?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJq-S634_mAGAR9Pr0NM95e9w,
202202,ブライダルサロンCAN,,,,,,,"https://www.google.com/maps/place/%E3%83%96%E3%83%A9%E3%82%A4%E3%83%80%E3%83%AB%E3%82%B5%E3%83%AD%E3%83%B3CAN/@35.6732094,139.609681,17z/data=!3m1!4b1!4m6!3m5!1s0x6018f343262ce26b:0x1a37feb6c036da3d!8m2!3d35.6732094!4d139.609681!16s%2Fg%2F11jjqz5b1r?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJa-IsJkPzGGARPdo2wLb-Nxo,
202453,デュースマリアージュ,,,,,,,"https://www.google.com/maps/place/%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80+%E3%83%87%E3%83%A5%E3%83%BC%E3%82%B9%E3%83%9E%E3%83%AA%E3%82%A2%E3%83%BC%E3%82%B8%E3%83%A5/@34.7374272,135.7939943,17z/data=!3m1!4b1!4m6!3m5!1s0x60013c59ef645df7:0xbc7d939271fd8d8e!8m2!3d34.7374272!4d135.7939943!16s%2Fg%2F1pv19jhf4?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJ911k71k8AWARjo39cZKTfbw,
201975,しあわせマリッジマナ,,,,,,,"https://www.google.com/maps/place/%E3%81%97%E3%81%82%E3%82%8F%E3%81%9B%E7%B5%90%E5%A9%9A%E7%9B%B8%E8%AB%87%E6%89%80%E3%83%9E%E3%83%AA%E3%83%83%E3%82%B8%E3%83%9E%E3%83%8A/@36.5205026,140.6302043,17z/data=!3m1!4b1!4m6!3m5!1s0x60222a44466a7d29:0x753c81c0a54113f4!8m2!3d36.5205026!4d140.6302043!16s%2Fg%2F11jk6p0lsn?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJKX1qRkQqImAR9BNBpcCBPHU,
202643,ＩＮＲエージェント龍ヶ崎いわさき,,,,,,,"https://www.google.com/maps/place/%EF%BC%A9%EF%BC%AE%EF%BC%B2%E3%82%A8%E3%83%BC%E3%82%B8%E3%82%A7%E3%83%B3%E3%83%88%E9%BE%8D%E3%83%B6%E5%B4%8E%E3%81%84%E3%82%8F%E3%81%95%E3%81%8D/@35.9019949,140.1796292,17z/data=!3m1!4b1!4m6!3m5!1s0x60227acb9249c38b:0xca8614894f8540c4!8m2!3d35.9019949!4d140.1796292!16s%2Fg%2F11bx1sv3lq?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJi8NJkst6ImARxECFT4kUhso,
202074,婚活の相談所アンジュウエディング土浦サロン,,,,,,,"https://www.google.com/maps/place/%E5%A9%9A%E6%B4%BB%E3%81%AE%E7%9B%B8%E8%AB%87%E6%89%80+%E3%82%A2%E3%83%B3%E3%82%B8%E3%83%A5%E3%82%A6%E3%82%A8%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0+%E5%9C%9F%E6%B5%A6%E3%82%B5%E3%83%AD%E3%83%B3/@36.0765739,140.2039745,17z/data=!3m1!4b1!4m6!3m5!1s0x60226d163d971c11:0xf436352dad678c00!8m2!3d36.0765739!4d140.2039745!16s%2Fg%2F11x0gtrsgf?entry=ttu&g_ep=EgoyMDI2MDIwMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",,,,,ChIJERyXPRZtImARAIxnrS01NvQ,
