施設ID,施設名,電話番号,郵便番号,都道府県,市区町村,住所,web,GoogleMap,ランク,カテゴリ,緯度,経度,施設GID,営業ステータス
203130,ロイヤルマリッジ,,,,,,,https://maps.google.com/?cid=10284494935186520623&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJr52f68_iAGARL7oYaqfduY4,
200706,お見合いマリッジハート,,,,,,,https://maps.google.com/?cid=11485530303896668653&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJVwxh9rYzB2AR7cm-XPXMZJ8,
200835,名古屋婚活,,,,,,,https://maps.google.com/?cid=8334986935300053731&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJj28XZe92A2AR49oU_nTSq3M,
203321,アイアイブライダル,,,,,,,https://maps.google.com/?cid=7781623204961147198&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJ56Na7akhAWARPlmlexPh_Ws,
202387,岡山県出会いと結婚サポートのNPO和(なごみ),,,,,,,https://maps.google.com/?cid=17882058692558644041&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJZeTV5ksGVDURSeOkPqPVKfg,
203217,岡山県仲人協会,,,,,,,https://maps.google.com/?cid=11610033990251106581&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJaVcFjaUHVDURFdEgy2YgH6E,
202294,パルティール,,,,,,,https://maps.google.com/?cid=8653850582505117905&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJVaHLxTEGVDUR0ViGNUGnGHg,
202678,岡山の結婚相談所カゼミチ,,,,,,,https://maps.google.com/?cid=12335771629220527402&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJ5YXikU4GVDURKv0HZvB2Mas,
201652,京都縁結び倶楽部,,,,,,,https://maps.google.com/?cid=14595441201696874641&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJRWTVbaMIAWARkSA-Z3Fsjco,
201285,たんぽぽ,,,,,,,https://maps.google.com/?cid=7470258781746799308&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJSXX7vSptIGARzKJCasiwq2c,
202059,えん,,,,,,,https://maps.google.com/?cid=2614714308528873133&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJ-_HlWkXjAGARrZ7-bM9USSQ,
202551,イーガーマリッジ,,,,,,,https://maps.google.com/?cid=1530522368499272924&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJv0RB6Lv6AGAR3EwwL_yBPRU,
202461,ドクターズコンシェルリンク大阪,,,,,,,https://maps.google.com/?cid=15887426041333218036&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJq-S634_mAGAR9Pr0NM95e9w,
202202,ブライダルサロンCAN,,,,,,,https://maps.google.com/?cid=1889258629567535677&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJa-IsJkPzGGARPdo2wLb-Nxo,
202453,デュースマリアージュ,,,,,,,https://maps.google.com/?cid=13582174308406234510&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJ911k71k8AWARjo39cZKTfbw,
201975,しあわせマリッジマナ,,,,,,,https://maps.google.com/?cid=8447769665446417396&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJKX1qRkQqImAR9BNBpcCBPHU,
202643,ＩＮＲエージェント龍ヶ崎いわさき,,,,,,,https://maps.google.com/?cid=14593374222517878980&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJi8NJkst6ImARxECFT4kUhso,
202074,婚活の相談所アンジュウエディング土浦サロン,,,,,,,https://maps.google.com/?cid=17597311064295836672&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJERyXPRZtImARAIxnrS01NvQ,
203094,茨城県仲人協会,,,,,,,https://maps.google.com/?cid=15536961731748087410&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJkUOlzQMlImARcsaubWBgntc,
201074,伊勢志摩婚活フェリーチェ,,,,,,,https://maps.google.com/?cid=2678711128543601971&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJUQx0KzpFBGARMyW6OJSxLCU,
201827,パンジークラブ,,,,,,,https://maps.google.com/?cid=6019073529697358649&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJ2zqZ2atfj18ROVORHnwLiFM,
203104,岩手県仲人協会,,,,,,,https://maps.google.com/?cid=7269525133027507391&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJB0J3gSV2hV8Rv_zgx5eK4mQ,
202555,フォーエバーアオバ企画,,,,,,,https://maps.google.com/?cid=12034017981221426942&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJHZMgt8uFil8R_tZdT5hrAac,
202962,アエルふくしま,,,,,,,https://maps.google.com/?cid=13574190277679461881&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,,,,,ChIJsRZBCMeIil8R-TWlbiM2Ybw,
