category,count
介護施設,17226
老人ホーム,12982
グループホーム,9634
デイケアサービス,5755
介護付き住宅,5427
在宅医療サービス,3196
高齢者専用住宅,2941
障害者向けサービス＆支援組織,1820
高齢者ケア,1398
コミュニティ センター,978
高齢者センター,970
企業のオフィス,728
社会福祉センター,657
集合住宅,592
社会事業団,570
不動産仲介業,478
協会,376
組織,376
観光名所,376
ホテル,346
介護住宅,265
ホームヘルパー業,265
団地,260
共同住宅,260
病院,259
公園,213
レストラン,206
建設会社,205
住宅建設業者,205
クリニック・医院・診療所,189
旅館,189
NPO法人,184
神社,184
アパート,178
カフェ・喫茶,172
仏教寺院,168
介護サービス,165
リノベーション業者,153
日帰り温泉,152
不動産店,151
リハビリ センター,150
市役所・区役所,150
不動産仲介業者,140
不動産業,138
キャンプ場,132
リフォーム業,128
斎場,116
3 つ星ホテル,103
ホスピス,99
史跡,98
医療･福祉カウンセラー,97
役場,91
民宿,90
温泉,89
建築会社,88
医療用品店,87
デイ スパ,86
住宅展示場,86
ソーシャルワーカー,81
建設請負業者,80
不動産管理会社,80
タクシー会社,77
定食屋,76
高齢者居住地区,75
保育園,75
工務店,71
蕎麦店,71
スーパーマーケット,71
医療施設,70
サービスエリア,68
便利屋,65
和食店,65
コンビニエンスストア,65
宿泊所,64
景勝地,63
墓地,62
内科医,60
村役場,57
店舗,57
コーヒーショップ・喫茶店,55
葬儀サービス,55
2 つ星ホテル,54
家具付き宿泊施設,53
総合病院,53
身体リハビリテーションセンター,52
パーキング エリア,51
ウェルネス センター,51
屋内宿泊施設,51
コテージ,51
ゲスト ハウス,50
保育所,49
製造元,48
児童養護施設,47
ハウス クリーニング業,45
Service establishment,44
建築設計事務所,42
医療センター,41
ATM,41
ベーカリー,41
火葬業,41
キャンプ場＆コテージ,40
住宅団地,40
ラーメン屋,40
社会福祉,39
葬儀屋,39
農場,38
銭湯,37
住宅開発,37
土産物店,36
バケーションレンタル,36
居酒屋,36
オートキャンプ場,36
バス停,34
地域の医療関連サービス,33
ファーマーズ マーケット,33
駐車場,33
軽食店,33
ゴルフ場,33
日帰り入浴,32
バーベキュー場,32
託児所,31
不動産コンサルタント,31
リゾートホテル,30
スパ,29
廃棄物リサイクル業,28
スーパー銭湯,28
寺院・礼拝所,28
果樹園,27
児童館,25
自動車販売店,25
展望台,25
医療部門,24
ロジスティクスサービス,24
イン,23
4 つ星ホテル,23
キッチン リフォーム業者,23
食品製造業者,22
請負業者,22
ヴィラ,22
橋,22
人材派遣業,21
倉庫,21
社会保障事務所,21
浴室リフォーム業,21
自炊式宿泊施設,20
保養施設,20
自然保護公園,20
サウナ,20
スポーツ複合施設,19
健康診断センター,18
保健所,18
レクリエーション センター,18
博物館,18
精神科医,18
運送会社,18
自動車修理・整備店,18
露天風呂,17
アパート貸付業,17
小学校,17
孤児院,17
庭園,17
貸別荘業,17
教育センター,16
私立病院,16
貸別荘,16
建築設計,16
ハイキング コース,16
B&B,15
集会所,15
ホステル,15
コンサルタント,15
観光案内所,15
クリーニング店,15
テイクアウト,15
解体請負業者,15
県庁舎,14
政府機関,14
洋食レストラン,14
ビジネスホテル,14
不動産開発業者,14
釣り堀,14
教育機関,14
空調設備工事業者,14
輸送サービス,14
マンスリー マンション ビル,14
弁当製造業者,14
エクステリアショップ,14
保険代理店,13
精神衛生サービス,13
外科医,13
ホームステイ,13
ペット ホテル業,13
事業用不動産業者,13
ガソリンスタンド,13
堰,13
中華料理店,13
仲介サービス,12
医療事業団,12
エステティック サロン,12
うどん屋,12
道路,12
港湾,12
運河技術者協会,12
イベント会場,12
バー,12
清掃業,12
塗装工,12
鉄工所・鉄鋼業,12
理容店,11
医者,11
牧場,11
正看護師,11
自治会,11
整形外科医,11
仕出し・ケータリング,11
郷土料理店,11
地域歴史博物館,11
郵便局,11
駅,11
洋菓子店,11
エンターテイメント,11
レクリエーション,11
ラブホテル,11
食料品製造販売業者,11
造園業者,11
ホームセンター,11
学習センター,10
役所,10
下宿屋,10
農業組合,10
一般向け情報案内所,10
賃貸者保険代理店,10
スキー場,10
公衆トイレ,10
指圧・マッサージ,10
電器店,10
電気工,10
ゴルフ練習場,10
電子部品製造業者,10
運輸サービス,9
麺類専門店,9
売買仲介業者,9
園芸センター,9
医療コンサルタント,9
運動競技場,9
シーフード・海鮮料理店,9
農業サービス業,9
自動車,9
酒店,9
自動車整備工場,9
城,9
保管施設,9
発電所,9
金属加工業,9
屋外温泉ガーデン,8
公共事業部,8
マーケット,8
農業関連組織,8
カフェテリア,8
テニス コート,8
作業療法士,8
理学療法士,8
ロッジ,8
青果店,8
インテリア用品店,8
整体,8
精神病院,8
長期滞在型ホテル,8
カレー店,8
日本式洋食レストラン,8
清掃業者,8
建築家,8
家電量販店,8
ドミトリー,7
身体障害者送迎サービス,7
企業・ビジネス,7
花屋,7
墓石・石材店,7
心療内科,7
月極駐車場,7
会議場,7
市立公園,7
支援グループ,7
公営住宅,7
デザート ショップ,7
鍼灸院,7
フィットネス クラブ,7
ドラッグストア,7
植物園,7
船上げ場,7
公立病院,7
ケーキ屋,7
宅配,7
出前,7
養鶏場,7
車体部品製造業者,7
