prefecture,total,web_present,web_missing,unique_categories_count,categories_sample
北海道,5289,2973,2316,368,1 つ星ホテル;2 つ星ホテル;3 つ星ホテル;4 つ星ホテル;5 つ星ホテル;ATM;B&B;NPO法人;Service establishment;アウトドア スポーツ用品店
青森県,1860,855,1005,151,2 つ星ホテル;3 つ星ホテル;ATM;NPO法人;アパート;エンターテイメント;カスタム ホーム建築業者;カフェ・喫茶;クリニック・医院・診療所;クリーニング店
岩手県,1738,859,879,207,2 つ星ホテル;4 つ星ホテル;ATM;B&B;NPO法人;Service establishment;たばこ店;アパート;アンテナ設置;イン
宮城県,2675,1380,1295,257,2 つ星ホテル;3 つ星ホテル;4 つ星ホテル;ATM;NPO法人;Service establishment;お好み焼き店;ごみ捨て場;たこ焼き屋;アイスクリーム店
秋田県,2062,903,1159,202,4 つ星ホテル;NPO法人;アパート;イン;エクステリアショップ;エステティック サロン;オフロード区域;オーガニック レストラン;カフェ・喫茶;カラオケ バー
山形県,1038,566,472,154,2 つ星ホテル;3 つ星ホテル;ATM;NPO法人;Service establishment;ごみ回収業;アパート;ウェルネス センター;エアコン販売店;オートキャンプ場
福島県,2581,1302,1279,286,3 つ星ホテル;4 つ星ホテル;ATM;B&B;NPO法人;Service establishment;うどん屋;かつ丼屋;ごみ回収業;ごみ捨て場
茨城県,800,557,243,68,アパート;カスタム ホーム建築業者;カフェ・喫茶;カーポート;クリニック・医院・診療所;グループホーム;コミュニティ センター;コンクリート工事業者;サービスエリア;デイケアサービス
栃木県,551,319,232,80,2 つ星ホテル;B&B;NPO法人;Service establishment;アウトドア家具店;インテリア デザイナー;ウィンドウ;エアコン販売店;エクステリアショップ;ガラス修理業者
群馬県,797,540,257,105,3 つ星ホテル;NPO法人;イン;オーガニック ショップ;カフェ・喫茶;ガソリンスタンド;キャンプ場;グループホーム;コミュニティ センター;サウナ
埼玉県,1929,1531,398,115,B&B;NPO法人;アパート;ウェルネス センター;カフェテリア;カフェ・喫茶;キッチン リフォーム業者;キャンプ場;クリニック・医院・診療所;グループホーム
千葉県,1511,1123,388,125,3 つ星ホテル;ATM;NPO法人;アドベンチャー スポーツ センター;アート ギャラリー;エクステリアショップ;エンターテイメント;オステオパス;カフェ・喫茶;ガラス修復業
