レビューID,施設ID,施設GID,レビュワー評価,レビュワー名,レビュー日時,レビュー本文,レビュー要約,レビューGID
101,216582,ChIJhREnGiHMBGARh9Kt4uZtBPE,1,うめこ,2026-02-05T10:25:07.269Z,"こちらの病院看護師さんや他の職員さんはきちんとした対応をされていたのですが。
貧血が酷いためこちらを紹介してもらいました。どこかから出血しているのではないかとのことでこちらを紹介それましたり
結局そちらの検査をする訳ではなく、小腸のカメラやりましょう。検査入院しましょうと言われ、そこから貧血の原因がわかればと了承し検査入院しました。
小腸バルーン検査1時間から3時間しかかからないと書いてあったのに4時間過ぎました。今度は上から小腸バルーン検査しましょうとのことになり、検査をしましたこちらは4時間半かけられました。検索してみると本来小腸バルーン検査は1時間から2時間それ以上はやらないとどこの病院でも書いてありました。本来次の日退院のはずが、検査の偶発性めったにならない急性膵炎になりました。担当の医師が急性膵炎でしたすみませんと。担当の医師もこの医師に指導していた医師も2時間以上かけると偶発症が出るという知識もなかったようです。指導医の方も一緒になり4時間かけてました。モルモットのように扱われました。入院が長引き何とか退院し、これからの治療の話をとの事で診察に行きました。 貧血の事には1つと触れず、検査の時に特定部位を採取しました。悪性か良性か半々ですと。来週来てください。手術しましょう。消化器外科になりますがとこちらの了承も何も聞かず勝手に手術の日程入院の日程を決め始めました。私はこの医師に検査の時から疑問を感じてました。検査入院の時も検査やりたいって態度でした、手術しましょうの時も自分がやりたいって対応が見えました。
急性膵炎になり、点滴を受け絶食までいきました。入院後の通院の月曜日この医師の診察室から出てくる人を数人見ましたが私も含め入院になりました。こちらの口コミで消化器内科は良いと、書き込みを拝見しました。
きっと医師にも当たり外れはあるとおもいますが、私を膵炎にした医師は消化器内科です。膵炎になりましたと私のとこへ話に来た時ヘラヘラしながら膵炎に、なったことを言いに来ました。
この医師の口癖、○○さんこれが何だかわかりますかとCT撮影してきた画像を見せる。それから次の検査日程を決める時はこちらの都合なのですが、といいます。気をつけてください。
私が手術をさせられそうになった時も、こちらの都合なのですが、と言って自分のスケジュールの空いてる日に、日程を入れさせます。
気をつけてください。

本当に手術は必要なのか怖いです。手術が必要な場合他の病院で対応して頂きます。なにかあっても絶対に豊川市民病院にはいきたくないです。
悪化させられそうで怖いです。 消化器内科で入院検査ダブルバルーン検査は慎重に考えられた方がいいと思います。私のように4時間かけられ急性膵炎にされられ入院が延びそれも無かったかのようにされると思います。ヘラヘラしながら膵炎ですと言われます。自分が膵炎にしたことがあれだったのか分かりませんが、病室にはほとんど来ず他の消化器内科の医師が来て大丈夫ですかとか見にきました。来た医師も適当にやってる感じです。こちらで検査される時は慎重に。",,ChdDSUhNMG9nS0VJQ0FnSURub3VQR21BRRAB
102,216582,ChIJhREnGiHMBGARh9Kt4uZtBPE,1,Madan Ranamagar,2026-02-03T19:56:59.123Z,夜救急で行ってたけど待つ時間はすごい長いですね救急で言ってるのにずっと待たせるね,,Ci9DQUlRQUNvZENodHljRjlvT25Kbk1saHVVMkZ3TVhCb1MxZHJUamxCWm5GNVRWRRAB
103,220649,ChIJgexQE6nOBGAROPhLYC-sTEU,5,とーふ,2026-02-08T03:15:03.145Z,,,Ci9DQUlRQUNvZENodHljRjlvT21selFVRk1UMDVYZGpCRVR6UXlabmc1YkZOTWFYYxAB
104,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,Yoshihiro Kato,2026-02-07T03:12:58.230Z,"5年程前に仕事の都合で豊橋に転居してから予防と治療で通わせて頂いています。
歯の掃除だけでなく、歯ブラシの指導も丁寧にして下さっているので以前より磨き残しが少なくなりました。",,Ci9DQUlRQUNvZENodHljRjlvT2xSdGNVSmZlbGN5TkdzM2JYbEhTbWx5YmxsTFpYYxAB
105,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,bun bun,2026-02-06T08:45:24.389Z,"子供が小さな頃から家族で定期的に通っています。
先生も衛生士さんも優しく子供も怖がる事なく安心して受診しています。",,Ci9DQUlRQUNvZENodHljRjlvT2s0MFpWWTBTSHAzWjFGdlRqSk9ObEYyTnpCdU9YYxAB
106,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,シャトーブリアン,2026-02-06T08:31:28.377Z,"お店はとても綺麗です。スタッフさんにも相談がしやすく親切に答えていただいております。

カウンセリングでは、歯並びの状態から綺麗になるまでの流れ、費用など詳しく説明していただき大変助かりました。

初めてでも緊張せずに通院できました‼️",,Ci9DQUlRQUNvZENodHljRjlvT25GMFYybHNNbXRyWXpZeFRFVkxWRWRhWkU5dFYyYxAB
107,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,鈴木靜子,2026-02-06T02:30:20.664Z,"78歳です
清潔感ありスタッフの方
優しい
私は入れ歯を作りました
先生からも親切にして頂き
吉田クリニックにくるのに
楽しみです",,Ci9DQUlRQUNvZENodHljRjlvT2xOS2FIbE1NVm96VTIweFJHbGhkQzFIWlhOcVdGRRAB
108,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,4,m,2026-02-06T01:45:29.788Z,"定期的にメンテナンスに通うことで日々の歯磨きへの意識が変わり、丁寧に磨くようになりました。結果、苦手な虫歯治療をすることが減ったのがうれしい効果です！
院内はキレイでみなさん丁寧に説明してくれるので安心感があります。",,Ci9DQUlRQUNvZENodHljRjlvT21aT0xUTldNSHBYWjFOS2NFcHJlbUpxYUZob04zYxAB
109,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,マリタケ,2026-02-04T08:58:44.415Z,"結婚してから、主人の家族が昔から通っている歯医者を勧めらたのをきっかけに通いだしました。
スタッフの方もみんな親切で初めての方でも入りやすいです。
娘たちの歯並びもこちらで勧められたマウスピースの矯正でキレイに治りました。

オススメの歯医者さんです！",,Ci9DQUlRQUNvZENodHljRjlvT2pWaWRFUlZTM3BCYWpZNVExQlpWRWR6VTE5WFpHYxAB
110,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,しょうゆ,2026-02-04T08:51:54.709Z,老若男女全ての方におすすめできますが、特におすすめなのは子持ちの方だと思います。,,Ci9DQUlRQUNvZENodHljRjlvT2w5NWNUTlhTWFZuYzFsc2NtOWFMWGMyTmpoRVdrRRAB
111,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,4,ponta,2026-02-04T08:09:10.549Z,"年齢を重ねるにつれて口内環境の変化を感じ数年前から予防歯科に通っています。歯科衛生士の方が磨き残しや歯茎のポケットの深さ、出血の有無など時間をかけて丁寧にチェックしてくれます。
どんな些細なことも気になったら相談できる雰囲気でとても安心できます。予防歯科に通うことで意識が変わり歯を大切にしたいと思うようになりました。
何かあってから予約を取って治療するより定期的に歯の健康をチェックしてもらうことで自分の意識も高まったと思います。治療の際も細かく気にかけてもらって大変ありがたいです。お口のことで少しでも気になることがある方はまずはお電話してみてほしいです。",,Ci9DQUlRQUNvZENodHljRjlvT2s5ck9VZHJRekEyVUdwWlIybHhiMDl0YTBsWVIzYxAB
112,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,Kazuki Ito,2026-02-04T07:47:14.466Z,"子どもが通いやすい歯医者さんです。
診察後にガチャガチャをやらせてくれるので嫌がらずに通えています",,Ci9DQUlRQUNvZENodHljRjlvT2tGdlRtSnZOa041TlhvMFIyWjZVV055T0hFNWFGRRAB
113,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,はなとい,2026-02-04T02:37:03.149Z,虫歯の治療だけではなく、歯のお掃除＆虫歯予防＆歯周病予防でもお世話になっています。歯医者のドキドキ感が全くなく、安心して通える歯医者さんです。,,Ci9DQUlRQUNvZENodHljRjlvT21KYVVtRTVZaTFKUzFZNE5EUkpiM0ZMWHpOUUxXYxAB
114,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,Arisa,2026-02-04T01:21:56.813Z,"歯医者に通うことを面倒だと思って今まで後回しにしていましたが、いざ通い始めてみるとスタッフさんの丁寧な指導により、歯も綺麗になり通い始めて良かったと思っています。

気になることがあったらすぐに対応してくれますし、予約をしていれば待ち時間もほぼ無くスムーズに終えることが出来るので、ここにして良かったです！
これからもよろしくお願いします。",,Ci9DQUlRQUNvZENodHljRjlvT2pacFVETlZiR00xUkdOV016aDVNMGwyYVhGUGFYYxAB
115,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,KK,2026-02-04T00:53:14.828Z,"自分の虫歯治療で、託児があるのでここを選びました。
その後も予防で通っています。磨き残しをチェックして、歯磨きの仕方も教えてくれるので、家でも意識して歯磨きするようになりました。
院内はキレイで、スタッフの方たちの雰囲気もよく、やさしいです。
子供も予防で通っていますが、終わるとガチャガチャができるので喜んでいます。
もう7年ほど通っていますが、これからも通い続けます！",,Ci9DQUlRQUNvZENodHljRjlvT2xKSGIwcGtjamhuTkRKTlVUZEhRVE5GUWxCVmIyYxAB
116,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,At Na,2026-02-03T02:55:19.635Z,以前通っていた歯科では治療方針等説明が少なく不安でしたが、こちらでは分かりやすく丁寧に説明してもらえるので安心して受診できます。,,Ci9DQUlRQUNvZENodHljRjlvT2paaFZWRjRkV0ZuWDNWNlVGbFVaVmxvWm1sWFVHYxAB
117,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,小山伸一,2026-02-03T02:15:42.840Z,"４０代　会社員男性。
奥さんの紹介で通院しました。
歯痛で通い始めてそこから歯石取り、ブラッシング指導ときめ細かく処置＆指導してもらってます。また、ヒアリングや相談も対応してもらって今は家族でお世話になってます。
全体的に清潔感もありオススメです。",,Ci9DQUlRQUNvZENodHljRjlvT2pOT1pXdGpWbGhYVEdrMmNGTnFSV2x5VWxWMFJIYxAB
118,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,智子,2026-02-03T00:46:12.886Z,"豊橋市で口コミの評価が高く、また足の悪い両親を連れて行くのにエレベーターがあるという点でこちらのクリニックを選びました。
歯ブラシ指導があり、歯磨きに対する意識が変わりました。毎回しっかり磨けていると実感しています。歯のメンテナンスを考えている方には、是非おすすめしたいです。",,Ci9DQUlRQUNvZENodHljRjlvT21ndGJsZGhNbmxIVkVOUlpreHljVzVUWjNCYU1sRRAB
119,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,T Ya,2026-02-02T08:36:44.352Z,"歯の治療以来、定期的にメンテナンスしてもらってます！磨き残し等チェックできるので
助かってます。",,Ci9DQUlRQUNvZENodHljRjlvT25aSVYzaEJlVVJ3ZWs1VFpVTXdVaTF2VDBkeUxWRRAB
120,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,Jin Ma,2026-02-02T02:58:55.613Z,"受付から治療まで、スタッフの皆さんの対応がとても丁寧です。
待ち時間も少なく、スムーズに案内してもらえました。
先生の説明も分かりやすく、こちらの質問にもきちんと答えてくれます。
信頼できる歯医者さんだと思います。",,Ci9DQUlRQUNvZENodHljRjlvT2tNMFJVNXRTMUpCZFVSbllYZENkVXQzVkhGM1JIYxAB
121,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,森川等,2026-02-02T02:45:22.379Z,"スタッフの対応と言葉づかいが丁寧です
メンテナンスも良く、一回通ったらもうほかのクリニックは考えられません",,Ci9DQUlRQUNvZENodHljRjlvT2t4T1MyWnlPWEZvVXpkQlQzVnJTbXRzY0drMlEzYxAB
122,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,たやま,2026-01-31T05:17:01.838Z,"50代男性です
最初歯が割れてしまい、あまりの痛みに我慢できずに色々あたったのですが緊急な対応をしてくれる歯医者さんがいなくこちらに電話した所快く引き受けてもらいました
親知らずの治療とか提案もしていただきました
その後は定期的に歯の掃除と別の歯の治療で通院しています
先生やスタッフの方々も非常に丁寧な対応をしていただき安心して通えるクリニックです
これからも長くお付き合いお願いします",,Ci9DQUlRQUNvZENodHljRjlvT20xdVpESmhRWG90VmpkYVgyVldlazFCWDFoNlNtYxAB
123,219588,ChIJw8a9Kw_OBGARtDtHxTaiyuI,5,アンシャーリー,2026-01-31T00:48:46.402Z,清潔な歯科クリニックです。スタッフの対応もとても丁寧です。これからも予防歯科通いたいです。,,Ci9DQUlRQUNvZENodHljRjlvT25GVVZVWnVObk51YkRZMVgwSlpYMkphYkd3d05VRRAB
