施設ID,施設名,電話番号,郵便番号,都道府県,市区町村,住所,web,GoogleMap,ランク,カテゴリ,latitude,longitude,施設GID,営業ステータス,phone,照合方法,post_id,normalized_name,normalized_address
101,さいわいデンタルクリニックmoyuk SAPPORO,011-206-8440,〒060-0062,北海道,札幌市,中央区南2条西3丁目20番地moyukSAPPORO2F,https://moyuksaiwaidental.jp/?utm_source=GBP&utm_medium=GBP&utm_term=GBP&utm_content=GBP&utm_campaign=GBP,"https://www.google.com/maps/place/%E3%81%95%E3%81%84%E3%82%8F%E3%81%84%E3%83%87%E3%83%B3%E3%82%BF%E3%83%AB%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AFmoyuk+SAPPORO/@43.0575687,141.3505936,17z/data=!3m1!4b1!4m6!3m5!1s0x5f0b293393c34929:0x449b90dc73e7aad8!8m2!3d43.0575648!4d141.3531685!16s%2Fg%2F11kq5v9xt_?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoASAFQAw%3D%3D",4.9,,43.0575648,141.3531685,ChIJKUnDkzMpC18R2Krnc9yQm0Q,,112068440,GoogleMapのみ,304063,さいわいデンタルクリニックmoyuk SAPPORO,中央区南2条西3丁目20番地moyukSAPPORO2F
102,JR札幌病院前デンタルクリニック,011-596-6874,〒060-0034,北海道,札幌市,中央区北4条東1丁目3−1 パシフィックタワー札幌 1F,https://www.sapporo-orange.com/?utm_source=google&utm_medium=map,"https://www.google.com/maps/place/JR%E6%9C%AD%E5%B9%8C%E7%97%85%E9%99%A2%E5%89%8D%E3%83%87%E3%83%B3%E3%82%BF%E3%83%AB%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@43.066736,141.3569387,17z/data=!3m1!4b1!4m6!3m5!1s0x5f0b29de2915d2d1:0x3c9d58ae61a92800!8m2!3d43.066736!4d141.3569387!16s%2Fg%2F11p01kcrpd?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoASAFQAw%3D%3D",4.7,歯科医院,43.066736,141.3569387,ChIJ0dIVKd4pC18RACipYa5YnTw,,115966874,GoogleMapのみ,304064,JR札幌病院前デンタルクリニック,中央区北4条東1丁目31パシフィックタワ札幌1F
103,札幌駅前田歯科クリニック,011-251-8000,〒060-0003,北海道,札幌市,中央区北3条西2丁目8−3 さっけんビル 2F,https://www.sapporoekimaeda-dc.com/,"https://www.google.com/maps/place/Sapporoekimaeda+Dental+Clinic/@43.0656389,141.3535251,17z/data=!3m1!4b1!4m6!3m5!1s0x5f0b2975cf2a4ea7:0xad7196b3b5d45be4!8m2!3d43.0656389!4d141.3535251!16s%2Fg%2F1tfjw1zr?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoASAFQAw%3D%3D",4.7,歯科医院,43.0658307,141.3536598,ChIJp04qz3UpC18R5FvUtbOWca0,,112518000,電話番号,6165,札幌駅前田歯科クリニック,中央区北3条西2丁目83さっけんビル2F
104,荒川デンタルクリニック,011-200-6622,〒060-0002,北海道,札幌市,中央区北2条西1丁目1 マルイト札幌ビル 2F,https://www.arakawa-dent.com/,"https://www.google.com/maps/place/Arakawa+Dental+Clinic/@43.0643312,141.3555616,17z/data=!3m1!4b1!4m6!3m5!1s0x5f0b298c387f73f1:0xa542952f8b6d4e41!8m2!3d43.0643312!4d141.3555616!16s%2Fg%2F11h7d7b1xl?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoASAFQAw%3D%3D",4.6,歯科医院,43.0643312,141.3555616,ChIJ8XN_OIwpC18RQU5tiy-VQqU,,112006622,GoogleMapのみ,304065,荒川デンタルクリニック,中央区北2条西1丁目1マルイト札幌ビル2F
105,レディデンタルクリニック 札幌,011-252-6480,〒060-0042,北海道,札幌市,中央区大通西3丁目11 せんばビル 6F 1階 ドトールコーヒ,http://lady-dental.com/,"https://www.google.com/maps/place/%E3%83%AC%E3%83%87%E3%82%A3%E3%83%87%E3%83%B3%E3%82%BF%E3%83%AB%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF+%E6%9C%AD%E5%B9%8C/@43.0600917,141.3532043,17z/data=!3m1!4b1!4m6!3m5!1s0x5f0b299cdba95555:0xa34e13d44e105b66!8m2!3d43.0600917!4d141.3532043!16s%2Fg%2F11tf5qz5q2?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoASAFQAw%3D%3D",3.5,歯科医院,43.0600917,141.3532043,ChIJVVWp25wpC18RZlsQTtQTTqM,,112526480,電話番号+緯度経度,8094,レディデンタルクリニック 札幌,中央区大通西3丁目11せんばビル6F1階ドトルコヒ
106,谷口歯科診療所,011-271-2610,〒060-0002,北海道,札幌市,中央区北2条西4丁目1 札幌三井JPビルディング 6階 赤れんがテラス,https://tdc.or.jp/,"https://www.google.com/maps/place/Taniguchi+Dental+Clinic/@43.0638731,141.3503822,17z/data=!3m1!4b1!4m6!3m5!1s0x5f0b299e27d4110d:0x79b220d325ef23af!8m2!3d43.0638731!4d141.3503822!16s%2Fg%2F1v3grpy5?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoASAFQAw%3D%3D",4.7,歯科医院,43.0638731,141.3503822,ChIJDRHUJ54pC18RryPvJdMgsnk,,112712610,電話番号（緯度経度不一致）,6073,谷口歯科診療所,中央区北2条西4丁目1札幌三井JPビルディング6階赤れんがテ
107,百合が原ながの総合歯科,011-770-2355,〒002-8009,北海道,札幌市,北区太平9条7丁目1−2,https://www.yurigahara.com/,"https://www.google.com/maps/place/Yurigaharanagano+Total+Dental+Clinic/@43.1328911,141.3596093,17z/data=!3m1!4b1!4m6!3m5!1s0x5f0b2f606fff7c1d:0xc583095298948dc6!8m2!3d43.1328911!4d141.3596093!16s%2Fg%2F1td17n94?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoASAFQAw%3D%3D",4.3,歯科医院,43.1328911,141.3596093,ChIJHXz_b2AvC18Rxo2UmFIJg8U,,117702355,電話番号+緯度経度,2083,百合が原ながの総合歯科,北区太平9条7丁目12
108,医療法人ハートフル会 すまいる歯科 札幌駅前ぺリオ・インプラントオフィス,011-242-1182,〒060-0034,北海道,札幌市,中央区北4条東2丁目8−2 マルイト北4条ビル 2階,https://smile6480.jp/,"https://www.google.com/maps/place/Smile+Dental/@43.0674938,141.3553944,17z/data=!3m1!4b1!4m6!3m5!1s0x5f0b2973f86385e7:0x37413d5fd83d6feb!8m2!3d43.0674899!4d141.3579693!16s%2Fg%2F1tw_n0r9?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoASAFQAw%3D%3D",3.7,,43.0674899,141.3579693,ChIJ54Vj-HMpC18R62892F89QTc,,112421182,電話番号+緯度経度,8691,医療法人ハートフル会 すまいる歯科 札幌駅前ぺリオ・インプラントオフィス,中央区北4条東2丁目82マルイト北4条ビル2階
109,シプリデンタルクリニック札幌ふしこ,011-768-8787,〒007-0865,北海道,札幌市,東区伏古5条5丁目2−5,https://www.sipuli-dental-clinic.jp/,"https://www.google.com/maps/place/%E3%82%B7%E3%83%97%E3%83%AA%E3%83%87%E3%83%B3%E3%82%BF%E3%83%AB%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF%E6%9C%AD%E5%B9%8C%E3%81%B5%E3%81%97%E3%81%93/@43.0865518,141.3951789,17z/data=!3m1!4b1!4m6!3m5!1s0x5f0b2f7db262c21b:0xcf1f4f8f31020b4a!8m2!3d43.0865518!4d141.3951789!16s%2Fg%2F11khccqdy9?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoASAFQAw%3D%3D",4.8,歯科医院,43.0865518,141.3951789,ChIJG8Jisn0vC18RSgsCMY9PH88,,117688787,GoogleMapのみ,304066,シプリデンタルクリニック札幌ふしこ,東区伏古5条5丁目25
110,矯正歯科・口腔ケア クリニック知事公館前,011-590-4640,〒060-0003,北海道,札幌市,中央区北3条西14丁目2−2 ダイアパレス北3条第2 1F,https://orthodontics-chijikoukanmae.com/,"https://www.google.com/maps/place/%E7%9F%AF%E6%AD%A3%E6%AD%AF%E7%A7%91%E3%83%BB%E5%8F%A3%E8%85%94%E3%82%B1%E3%82%A2+%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF%E7%9F%A5%E4%BA%8B%E5%85%AC%E9%A4%A8%E5%89%8D/@43.0622339,141.334384,17z/data=!3m1!4b1!4m6!3m5!1s0x5f0b2991d22da32f:0x4c0548353184de5a!8m2!3d43.0622339!4d141.334384!16s%2Fg%2F11sbjw2kd_?entry=ttu&g_ep=EgoyMDI2MDEyNS4wIKXMDSoASAFQAw%3D%3D",4.9,歯科医院,43.0622924,141.3342552,ChIJL6Mt0pEpC18RWt6EMTVIBUw,,115904640,GoogleMapのみ,304067,矯正歯科・口腔ケア クリニック知事公館前,中央区北3条西14丁目22ダイアパレス北3条第21F
