レビューID,施設ID,施設GID,レビュワー評価,レビュワー名,レビュー日時,レビュー本文,レビュー要約,レビューGID
101,2322,ChIJ-W3zK9_vTzUROEg8NY2MkYI,5,flower,2026-01-28T04:45:46.413Z,"5歳の娘が4歳からお世話になっています。緊張する娘に、「お洋服可愛いね」「何色が好きなの?」と優しく声かけしてくださり、恐怖心ゼロで通えています♪歯医者さんって、衛生士の方は優しいけど、お医者さんはしゃべりにくいイメージがありました。でも、こちらの歯科は、お医者さんの方から雑談交えて会話してくださり、イメージが変わりました！これから益々人気が出てお忙しくなると思いますが、ずっとこの優しい空間が続けばいいなと願っています。
いつも丁寧に診察、ご指導くださり、ありがとうございます。また、次回もよろしくお願いします☺︎",,Ci9DQUlRQUNvZENodHljRjlvT21WbU5WaDRNMWROTFV4MmVtWnBUeTFZUkVKQ09HYxAB
102,30152,ChIJ81ZHbwDLQTURKMZ0US7jMuU,5,耀,2026-02-04T03:56:39.142Z,とても丁寧で良かったです。,,Ci9DQUlRQUNvZENodHljRjlvT2xReWVraFpUVE13UkVGdFpWSnBOa2RwZUdaMFRXYxAB
103,30152,ChIJ81ZHbwDLQTURKMZ0US7jMuU,5,ふじ,2026-01-28T08:16:55.065Z,"スタッフの方はとても優しく、安心できる病院です。
親知らずの抜歯をしましたが、事前に丁寧な説明があり、歯医者が怖い私でも不安なくお願いすることができました！
治療をするときも痛みを感じることはありません。
今後ともよろしくお願いします。",,Ci9DQUlRQUNvZENodHljRjlvT2s4NE9HUjFOMUkxU1V0M1dVbHRTRTVuTFhaTFNtYxAB
104,30205,ChIJqT4l3bzJQTURFRI1nUL0Cno,5,日吉洋一,2026-02-05T03:28:14.621Z,院長、副院長ともスポーツマンで、明るく快活な人柄は、なごやかな雰囲気の歯科医院にしています。歯科医師としても信頼できる技術で安心して治療を受ける事ができています。現在は、定期的な歯石除去などの予防をお願いしていますが、健康のためにとても役立っていると感じています。,,Ci9DQUlRQUNvZENodHljRjlvT2tKemRHZGhOVEptVlVaM1NqSklWMGxzTjBKNFdHYxAB
105,30205,ChIJqT4l3bzJQTURFRI1nUL0Cno,5,ゆうこう,2026-01-31T04:08:35.001Z,"子供の歯科矯正でお世話になりました。
先生、スタッフの皆さん優しく丁寧で、子供も楽しみにしながら通うことが出来ました。歯の矯正も望んだ通りになって満足です。
ありがとうございました。",,Ci9DQUlRQUNvZENodHljRjlvT2s5UGNsTmtiVFpyYm10QlYxZGhOWEJvVVhoUU1sRRAB
106,30164,ChIJ6fa40tjLQTURmCDebIWVDsQ,5,だい,2026-02-02T08:11:32.968Z,約2年半お世話になりました。おかげさまで歯並びに対するコンプレックスが無くなり、歯を出して笑うことに抵抗が無くなりました。,,Ci9DQUlRQUNvZENodHljRjlvT2t0SFV6TlBhMVZ4VkdJNFVubGpZV1JTVVhBeFVYYxAB
107,30177,ChIJ-YHzr_q1QTURVHFXOiWwxtY,5,Eri T.,2026-02-06T07:30:37.066Z,"長年、自分の出っ歯にコンプレックスを抱いていました。
マウスピース矯正１年で、見栄えもとても綺麗になりました。
新しいマウスピースで歯が痛い時や、気軽に飲食ができない時など辛い時もありましたが、院長先生やスタッフさんの前向きな声掛けで、無事最後まで駆け抜けることができました。
これからリテイナーの時期に入り、通院はひとまず終わりましたが、まだまだマウスピースとの付き合いは続くようです。
今後とも何かありましたらよろしくお願いします。",,Ci9DQUlRQUNvZENodHljRjlvT2xOUlVUWTRaRFpKTVhobGNXVnNjamxHTWxaTGJHYxAB
108,30177,ChIJ-YHzr_q1QTURVHFXOiWwxtY,5,木下愛佳,2026-02-02T07:56:44.035Z,"約2年半の矯正でした。カウンセリングの際から親身に話を聞いて下さり、「綺麗になろうね」と言って下さりここを選んでよかったと思いました( ; ; )
みるみる歯並びが良くなっていくのを見てすごく自己肯定感が上がりましたし、何より褒められることが多くなりました♩
看護師さん、受付の方、歯科医師さん全ての方の雰囲気が良く、通いやすかったです!!",,Ci9DQUlRQUNvZENodHljRjlvT2swMFoycEJjMFkxZFc5ZlFrSjNNVTlZYUZwVVNFRRAB
109,30177,ChIJ-YHzr_q1QTURVHFXOiWwxtY,5,杉馬場祐,2026-02-02T02:18:03.538Z,綺麗な歯並びになりました。ありがとうございた。,,Ci9DQUlRQUNvZENodHljRjlvT25odmJVeG5hWEZhVmxOUWEwbzBiRGhZUVV4V01YYxAB
110,2320,ChIJ8-v1AxPuTzURK7UNWShPiu4,5,はしもとまみ,2026-02-02T01:58:53.658Z,通常のメンテナンスも丁寧にしてくてます。高額で面倒な矯正も取り外しができていざという時などに面倒がないものがお手頃にできるので、食べるのが好きな私はとても助かっています。,,Ci9DQUlRQUNvZENodHljRjlvT21GaFFtWnBlVnAxVEZkZmJVeDRjWGg1V1U1RmNuYxAB
