レビューID,施設ID,施設GID,レビュワー評価,レビュワー名,レビュー日時,レビュー本文,レビュー要約,レビューGID
101,108,ChIJ54Vj-HMpC18R62892F89QTc,1,さー,2026-01-30T12:34:22.059Z,"今までで、一番ひどい歯医者でした。
先生方の悪口にも聞こえるいい方が、患者を患者としか見てないから、酷い発言出来るんだろうと思いました。
痛いって言ってるのに、これぐらい痛くないしょやとか、
被せる歯を床に落としたのに、謝ることなく、落としちゃったよと誰かと話しながら、そのまま被せられました。
今すぐ謝罪をして欲しいです。
しかるべき対応とってくれる所に、相談したいと思います。",,Ci9DQUlRQUNvZENodHljRjlvT2s0eGVWTTRSRmRvY2trMWEwTjBPWFpJUXpSS05rRRAB
102,124,ChIJUetWJ4MpC18R_bwGYZ67kEo,5,e k,2026-01-20T23:48:39.981Z,"マウスピース矯正などでお世話になっています。
先生含め皆さんとても優しく、院内も綺麗です。",,Ci9DQUlRQUNvZENodHljRjlvT2tGa1VtcHBRMGRyTm5kWWRGZFVMWGR1U0hWM04yYxAB
103,159,ChIJfYuBsJwpC18RegxpccfLNtY,5,岡崎美波子,2026-01-20T05:42:50.408Z,"結論、すごく良かったです✨
⭐️5つでは足りないくらいです。
「藤井誠先生」に左上の奥歯を抜歯して頂きましたがかなり不安症で恐怖心が強い方なのですがその旨を事前にお伝えすると物凄く配慮して下さり不安も恐怖も忘れるくらい丁寧な手術でとても早くて忙しいはずなのに何度も「痛くないか。」確認して下さり少し涙が出そうでした。今まで出会ったお医者さんで1番です。電車で通う距離にあるのですが今後も通おうと心に誓いました！今まで家の周りの歯医者5院程回りましたが1番良かったです！ちなみに系列院の真駒内の夜間救急も行かせて頂きましたが凄く良かったです！もう日之出歯科一択です！帰り際に藤井誠先生にお礼を言いたかったのですが忙しいそうでしたのでこちらに心よりお礼申し上げます。本当にありがとうございました。",,Ci9DQUlRQUNvZENodHljRjlvT2xodmVsQlZNV1ZCWlZablUwRkxaa3B2V0Y5NFNVRRAB
104,147,ChIJn-fU4GEpC18R5G-5IKl0gvc,5,mikio,2026-01-29T07:33:21.993Z,自分に合った矯正を提案していただき、綺麗になり満足です！,,Ci9DQUlRQUNvZENodHljRjlvT2xkQlpuQjVjV3BuVEc5bVpUWk9jVUp1ZDJsa1VYYxAB
105,147,ChIJn-fU4GEpC18R5G-5IKl0gvc,4,Mat Tomoe,2026-01-24T09:13:47.071Z,"いつも丁寧に対応いただき感謝です。
歯も綺麗になり満足です。
ありがとうございました。",,Ci9DQUlRQUNvZENodHljRjlvT2pWSlNqQjJVMWhQVERJeVFYSkxRVFZaWDFweGVXYxAB
106,114,ChIJWYMRu7wpC18Rp0MMFaahIRk,5,Sae Okawa,2026-01-22T11:32:44.981Z,,,Ci9DQUlRQUNvZENodHljRjlvT201UFpUYzNNSFprZG5NMWFrOXFNRGRaU2xwSVRuYxAB
107,101,ChIJKUnDkzMpC18R2Krnc9yQm0Q,5,ゴロリちゃん,2026-01-27T14:49:07.249Z,徐々に歯が白くなっていくのを実感できてすごく嬉しいです！スタッフの方もみなさん優しいので通いやすいと思います！,,Ci9DQUlRQUNvZENodHljRjlvT2pKSlRXeDFWbTB0ZVRCeVgwaERiVWREVkVwRVMwRRAB
108,101,ChIJKUnDkzMpC18R2Krnc9yQm0Q,1,テレレ,2026-01-27T10:19:01.847Z,"スタッフは担当制なのか毎回同じ方。流れ作業な感じがします。
予約がとりにくいので忙しい方にはおすすめできません。",,Ci9DQUlRQUNvZENodHljRjlvT2s0M1JsWjJSakZWTkVkcGVuVnZlVkJsTWxGUFQwRRAB
109,101,ChIJKUnDkzMpC18R2Krnc9yQm0Q,4,ああ,2026-01-27T05:54:04.747Z,ホワイトニングで通ってます！家でのホワイトニングをしっかり毎日続ければすぐ結果が出るのと対応が丁寧なのでオススメです！,,Ci9DQUlRQUNvZENodHljRjlvT2pST1YxaE5jMk0yYkVaUWMwRm5UbmhsTUhST2QzYxAB
110,101,ChIJKUnDkzMpC18R2Krnc9yQm0Q,5,小関亜沙美,2026-01-21T01:44:50.878Z,,,Ci9DQUlRQUNvZENodHljRjlvT2s5TFowRk1ZWFJNZFhKRVpteHhiVXB4VW1WeE5IYxAB
111,136,ChIJg-DpoZUpC18RK-8KiT7kd-g,5,Junko Mannen,2026-01-27T01:32:38.506Z,"夫が癌の手術前に歯科治療を勧められ、夫が自分で探し当てた先生が、宮田先生です。
質問や相談にも答えてくださり、安心して治療を受けていました。

その後、私も宮田先生の世話になっています。
先生の技術はもちろん、丁寧な説明もありがたいです。
スタッフさんも応対も丁寧です。
院内も清潔です。

別件ですが、大雪に見舞われた札幌、駐車場の出入り口も除排雪がなされていて、感謝です。",,Ci9DQUlRQUNvZENodHljRjlvT2xkeE5GWldablZ3YlhoVWVGWnBZbXM1TTBsbk1YYxAB
112,140,ChIJPZtrBdspC18RCyaw5oLTNdc,5,ゆき,2026-01-29T09:35:29.065Z,"ちょっとした不安点にも毎回とても丁寧に説明してくださり、支払い方法についてもいろいろ相談しながら治療を進めていただきました。
治療中も、その時々の状況に応じて不安なことがあれば分かりやすく説明してくださり、安心して通うことができました。

こちらの都合もあり、治療完了までに1年以上かかりましたが、今では本当にインプラントにして良かったと心から満足しています。
ありがとうございました。",,Ci9DQUlRQUNvZENodHljRjlvT201cmVGUnFXa052UkZsdmJ6RTBRMWhDZWxaSmVuYxAB
113,164,ChIJXWPinscpC18RkoFCgoSQBrA,5,eh0055bq,2026-01-28T07:13:42.792Z,"先生、歯科衛生士さんみなさん素晴らしいです。
治療計画をしっかり立てていただき、治療が早く進むように考えてくれます。治療中の麻酔の注射苦手なんですが、痛みが少ない。
根幹治療はラバーダムを使った治療としっかりと説明していただけるので本当に感謝しています。",,Ci9DQUlRQUNvZENodHljRjlvT25OTFNHMVJPVmxqVjFsZlpIZzVNVmRwYUVkbVowRRAB
114,164,ChIJXWPinscpC18RkoFCgoSQBrA,5,tomohito kan,2026-01-27T09:06:05.492Z,きれいで利用しやすいです,,Ci9DQUlRQUNvZENodHljRjlvT2xvMVZVNUNhRVJyYm5KUk0yeHZjbmxUVWtNMFpWRRAB
115,135,ChIJI-TJCnUpC18RJNHyxWSBvoU,5,ドフラミンゴファミリー,2026-01-28T02:15:40.567Z,"静脈内鎮静法にて親知らずを抜歯しました。
まったく記憶が無く、痛みも苦しさも無くて良かったです。絶対にここで受けるべき。",,Ci9DQUlRQUNvZENodHljRjlvT2toNFJFOHdkekJyTUdKR1ZUbDBaVlkyWVZCa1RGRRAB
116,135,ChIJI-TJCnUpC18RJNHyxWSBvoU,5,y_s,2026-01-28T02:04:25.141Z,"両顎下にある親知らずの抜歯をしていただきました。
先生、スタッフの皆様が丁寧に説明してくれてなんの不安もなく望めました。
気づけば終わっていて本当にびっくりしました。",,Ci9DQUlRQUNvZENodHljRjlvT2tJMFptcDVOMGQxWlZVelZXTjRTemRxVUVFME5GRRAB
117,135,ChIJI-TJCnUpC18RJNHyxWSBvoU,5,N K,2026-01-22T07:38:52.204Z,"ネットで無痛治療があるのでこちらでお願いをしてもう何年もたちます。先生、歯科衛生士のかたみたさん優しく、歯医者が苦手な私でも通い続けてることが出来ています。
スタッフの皆さんがとても優しいので安心して治療をお願いできます。これからもよろしくお願いします。",,Ci9DQUlRQUNvZENodHljRjlvT25CNlowUllObmhmYVZaSlVFWktWMEZqYjJ0SVYxRRAB
118,110,ChIJL6Mt0pEpC18RWt6EMTVIBUw,5,竹内めぐみ,2026-01-30T07:41:58.243Z,"子供が約20年、先生にお世話になっております。
今の病院になっても以前と同じレベルかそれ以上の安心感を持って通院させていただき感謝の気持ちでいっぱいです。",,ChZDSUhNMG9nS0VJQ0FnSURwdFlDbFlBEAE
119,110,ChIJL6Mt0pEpC18RWt6EMTVIBUw,5,ヨウコ,2026-01-30T02:24:56.878Z,"口腔ケアでお世話になりました。
先生も衛生士さんも受付の方もみなさん優しく丁寧で安心して診察していただけました。
ありがとうございました。",,Ci9DQUlRQUNvZENodHljRjlvT2pGTWNUTnNSRXBxVkVwdlQyUlllbVYyWkVOT1pXYxAB
120,110,ChIJL6Mt0pEpC18RWt6EMTVIBUw,3,増田香織,2026-01-27T13:41:10.108Z,,,Ci9DQUlRQUNvZENodHljRjlvT2kxRWNrSTNlVXRKV2s1Wk1qVlJaRFZrUjNvMVprRRAB
121,110,ChIJL6Mt0pEpC18RWt6EMTVIBUw,4,畠山恭輔,2026-01-23T08:38:31.947Z,,,Ci9DQUlRQUNvZENodHljRjlvT2w5U1pYSTFXa2N6V0ZabFRuUnJVMlZ0Tm1OWVQwRRAB
122,110,ChIJL6Mt0pEpC18RWt6EMTVIBUw,5,moko kumo,2026-01-20T08:10:01.465Z,,,Ci9DQUlRQUNvZENodHljRjlvT2tSTmMyMXJXazVrZWt0M2RrUnZPVTFNV2pGaVZGRRAB
123,173,ChIJk3iJkrspC18RZfZtVgiS2vI,5,か,2026-01-27T03:48:48.178Z,予約制で待ち時間もなく通いやすいです。スタッフの皆さんも優しいです。,,Ci9DQUlRQUNvZENodHljRjlvT2t4S1dEY3piME56UmtsTGIyMXVVSEJIWjBZeE5XYxAB
