レビューID,施設ID,施設GID,レビュワー評価,レビュワー名,レビュー日時,レビュー本文,レビュー要約,レビューGID
101,28206,ChIJ7wB1BzbhAGARIEp-ofQ2CtE,5,草野良子,2026-01-30T06:25:23.699Z,"先生やスタッフの皆さんには大変お世話になりました。
皆さんに親切にして頂き安心して通う事ができました。",,Ci9DQUlRQUNvZENodHljRjlvT2tSSE4xSlZNekF6U1hZMVprVTBZM2h1YkRaMFFVRRAB
102,28206,ChIJ7wB1BzbhAGARIEp-ofQ2CtE,5,西岡波留,2026-01-29T08:21:18.530Z,スタッフの皆さんとても対応が良いです。,,Ci9DQUlRQUNvZENodHljRjlvT25nMlNVTnZPVkJDTkZGQ1ExTmpXRTFxZW05WWJVRRAB
103,28206,ChIJ7wB1BzbhAGARIEp-ofQ2CtE,5,加昌（KS）,2026-01-29T03:20:24.375Z,"お世話になって一年半近くになりました。
年齢的な事も有り、月に一回のペースで歯を診て頂いています。
歯石やクリーニング等をお任せさせて頂いています。
いつも親切、丁寧な治療をして頂いています。
これからもずっとお世話になるつもりで通わせて頂きます。",,Ci9DQUlRQUNvZENodHljRjlvT2xBNVkweFFObWd4UkdkRFp6aDJNVVpDUkdSM1EzYxAB
104,28190,ChIJiU2_KGLhAGAR_b5D6hg0Z0E,2,N Kotarou,2026-01-26T04:40:19.226Z,"受付の方や歯科助手の方はとても優しく、感じの良い対応でした。
その点は安心できました。

ただ、治療を担当された先生の対応が私には合わず、不安が残りました。
初診時に不安を伝えた際、「それはやってみないと何とも言えない」と言われ、正直この時点で少し違和感を覚えました。

一番つらかったのは麻酔の時です。
麻酔後、倒していた椅子を起こされた瞬間に激しい眩暈が起き、すぐに訴えましたが
「アドレナリンが入っているからですね」と言われ、気分が悪いまま治療が続けられました。

その後、治療中の痛みを訴えると再度麻酔をされ、今度は強い動悸と苦しさが出ました。
それを伝えると、なぜか鎮痛剤（ボルタレン）を出され服用し、そのまま治療が続行されました。

治療後はフラフラの状態で帰宅し、現在も横になると眩暈が出ることがあります。
色んな歯医者さんで治療を受けましたがこんな事は初めてで私にとっては非常に恐怖の残る体験で、この件がきっかけで歯科治療自体がトラウマになってしまいました。

歯医者や麻酔に不安が強い方は、事前によく相談し、慎重に判断された方がいいと思います。",,Ci9DQUlRQUNvZENodHljRjlvT2xReVMyTXRRWGx3VDNocWFteG9Wa2M1TjNZeVYyYxAB
105,28935,ChIJgdElMZFVAGARaKSfCPDJreg,5,KOJI,2026-01-21T12:41:26.703Z,"最近、家族で通うようになりました。
院内は新しくとても綺麗で、最新の設備が整っているように感じます。ご夫婦共に歯科医師さんのようで、とても丁寧に見ていただきました。スタッフさんの感じも良かったです。
まだ、治療中心ですが、予防についても教えていただきました。定期的に通い、歯を大事にしたいと思います。",,Ci9DQUlRQUNvZENodHljRjlvT25OT1J6RkdjRUZEWjBoNlVtYzNablI2WlhKZlRFRRAB
106,28935,ChIJgdElMZFVAGARaKSfCPDJreg,5,吉田昌二,2026-01-20T01:23:04.761Z,家族ぐるみで行かせてもらってます　とても良い先生とスタッフ皆様で　嫁も歯が白くなり　大変喜んでます,,Ci9DQUlRQUNvZENodHljRjlvT210RWVHNTRSa3B2ZUdFM2NUaDBORTlMWTE5UlpXYxAB
107,28926,ChIJs2faf5NTAGARz85mxp_ZgN0,5,宮川和海,2026-01-30T05:31:31.994Z,院内も綺麗で診察もいつも丁寧で助かっています。,,Ci9DQUlRQUNvZENodHljRjlvT21FNWJXdG5UbUprVms1d01UTmlWVWhwZFVneU5GRRAB
108,28926,ChIJs2faf5NTAGARz85mxp_ZgN0,4,南江清美,2026-01-28T03:30:58.020Z,,,Ci9DQUlRQUNvZENodHljRjlvT205Qk4wOW5XRWxsVmpKSWNtaENUVGxPZUdaNWFrRRAB
109,28926,ChIJs2faf5NTAGARz85mxp_ZgN0,5,Ryo Naga,2026-01-28T00:32:08.192Z,丁寧な接客対応なので安心して利用できる,,Ci9DQUlRQUNvZENodHljRjlvT2toa1VDMXlZMVJrT1VGWVZqVlFhVXRaVkRoWVMwRRAB
110,28926,ChIJs2faf5NTAGARz85mxp_ZgN0,5,さち,2026-01-27T08:07:15.709Z,,,Ci9DQUlRQUNvZENodHljRjlvT213d1J6aEdkMFJ3UTNaME9YbG9WVkV6VVhack5FRRAB
111,28926,ChIJs2faf5NTAGARz85mxp_ZgN0,5,Mika Ada,2026-01-27T06:35:10.227Z,"いつもお世話になっています。
綺麗な院内で、毎回丁寧な治療ありがとうございます。",,Ci9DQUlRQUNvZENodHljRjlvT2tKTFZtMVVXVmR0YzJKdVowMXJhekZZVjFCNFkyYxAB
112,28926,ChIJs2faf5NTAGARz85mxp_ZgN0,5,松田紘輔,2026-01-27T01:37:29.466Z,,,Ci9DQUlRQUNvZENodHljRjlvT2xGelRteHJWSHB3WTBkdGRUSkRRV0ZMV0VwSWExRRAB
113,28926,ChIJs2faf5NTAGARz85mxp_ZgN0,4,michiko tanimura,2026-01-27T01:14:51.385Z,"丁寧に対応して頂きました。
今後もよろしくお願いします。",,Ci9DQUlRQUNvZENodHljRjlvT21kdFpsQXpUMlJGZFc1dlVYZGpUa0U0TVZSRWVGRRAB
114,28926,ChIJs2faf5NTAGARz85mxp_ZgN0,5,K K,2026-01-27T00:49:32.586Z,数年利用しております　いくつかの歯科医院にかかっておりましたが、治療、診断への技術力、スタッフに対応の良さ　設備の清潔さから評価しております　1人経営のクリニックが多い中、複数の対応歯科医師が在籍している事も評価点です　また埋没歯の対応で歯科口腔外科を紹介していただける提案や、他にも考えうるいくつかの治療選択の提示をいただきました　困っている点に対して、安全や治療の確実性、予後に配慮した上での丁寧なお話しに、専門家としての責任ある対応を感じました　当面、受診、検診継続させていただきます,,Ci9DQUlRQUNvZENodHljRjlvT213eVkyRk5la0ZtZVhaM2NqQnBUVmRpYTB0cVUzYxAB
115,28926,ChIJs2faf5NTAGARz85mxp_ZgN0,5,中安卓哉,2026-01-26T07:38:37.005Z,,,Ci9DQUlRQUNvZENodHljRjlvT21OWGVVWm1ibXBxTVhwaGEyMUpNMWxsWkdKa1ptYxAB
116,28926,ChIJs2faf5NTAGARz85mxp_ZgN0,5,けいこ,2026-01-26T07:09:17.890Z,いつも親切で丁寧な対応で嬉しいです。これからもよろしくお願いします。,,Ci9DQUlRQUNvZENodHljRjlvT2w5UGRsUlFkbEpvUkhoQllWUjBiRkZ3TjNoTGIxRRAB
117,28926,ChIJs2faf5NTAGARz85mxp_ZgN0,5,りな,2026-01-26T03:08:11.027Z,久しぶりに治療に来たにも関わらず丁寧に説明して頂き安心して通う事が出来る。また予約している時間に呼んで頂け所用時間も教えて頂けるので助かる。,,Ci9DQUlRQUNvZENodHljRjlvT2kwemVsaEJTVmM1VVZwYWNVRTFiSFp0UTBVelpGRRAB
118,28926,ChIJs2faf5NTAGARz85mxp_ZgN0,5,lemon sweet,2026-01-24T01:13:06.855Z,,,Ci9DQUlRQUNvZENodHljRjlvT2tSNlRsbEROWFJHU2w5aVRGaFdZVWRXYm14TVExRRAB
119,28926,ChIJs2faf5NTAGARz85mxp_ZgN0,4,Tooru Simadu,2026-01-23T08:06:36.366Z,,,Ci9DQUlRQUNvZENodHljRjlvT25sTk9WWkJUMDF3WmkxV2NIWkdjVVJ6TWtSQmIyYxAB
120,28926,ChIJs2faf5NTAGARz85mxp_ZgN0,4,田中義洋,2026-01-20T07:31:57.402Z,親切に丁寧に診察を頂きました。,,Ci9DQUlRQUNvZENodHljRjlvT2psWlp6aDRUMHBxVUdGcGJISkVTVjgxTFZaa2FuYxAB
