施設ID,施設名,電話番号,郵便番号,都道府県,市区町村,住所,web,GoogleMap,ランク,カテゴリ,緯度,経度,施設GID,営業ステータス
101,西宮北口歯科小児歯科矯正歯科口腔外科,8179-865-1971,,,"アクタ西宮 東館, 2階, １-２ 北口町",西宮市 兵庫県 663-8035,http://naturalsmile.jp/?utm_source=google&utm_medium=map,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f238d7e11a2d:0xcea1095df82076eb,4.4,歯科医院;救急歯科;クリニック・医院・診療所;口腔外科医;矯正歯科;小児歯科医,34.7467373,135.35819229999998,ChIJLRrh1zjyAGAR63Yg-F0Joc4,
102,西宮北口ライフ歯科・矯正歯科・小児歯科,8179-865-4182,663-8204,兵庫県,西宮市,高松町３−３６ 1階,https://www.lifedc-nishinomiyakitaguchi.com/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f300d2bc51fd:0x23edda90e8045ad6,4.9,歯科医院;矯正歯科;小児歯科医,34.7444729,135.3563499,ChIJ_VG80gDzAGAR1loE6JDa7SM,
103,甲子園口オカダ歯科医院,8179-865-8383,663-8112,兵庫県,西宮市,甲子園口北町4−１−１０１,https://www.koshienguchi-dc.com/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f1d052d7dd7d:0x20e9a9d663894da0,4.4,歯科医院;美容歯科医;矯正歯科;小児歯科医;歯周病専門医;歯科ホワイトニングサービス,34.7393414,135.3765238,ChIJfd3XUtDxAGARoE2JY9ap6SA,
104,よしだ歯科クリニック,8179-863-4182,663-8113,兵庫県,西宮市,甲子園口３丁目１５−７ アバンドール甲子園口 1F,https://www.yoshidashika-clinic.com/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f2020fc06709:0x78c811f1d35daf17,3.6,歯科医院;美容歯科医,34.7368855,135.37401359999998,ChIJCWfADwLyAGARF69d0_ERyHg,
105,きの歯科医院,8179-868-5565,663-8113,兵庫県,西宮市,甲子園口２丁目１−１０,https://kinodental.jimdoweb.com/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f1f8ea57dba7:0xd5174b06a8eb23f,3.6,歯科医院,34.7386909,135.37585869999998,ChIJp9tX6vjxAGARP7KOarB0UQ0,
106,西宮北口歯医者エイチアンドエル,8179-865-7777,663-8204,兵庫県,西宮市,高松町５−３９ なでしこビル 4F,https://www.nishikita-dental.com/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f384b0f0c979:0xf0d3ebd76d94aa5e,4.9,歯科医院;矯正歯科;小児歯科医,34.744620999999995,135.3569831,ChIJecnwsITzAGARXqqUbdfr0_A,
107,おおがき歯科,8179-866-4182,662-0832,兵庫県,西宮市,甲風園１丁目７−６,http://www.ogaki-shika.com/1-incho.html,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f2389db2a247:0xb6085af045b34ca9,4.7,歯科医院,34.747483599999995,135.3557921,ChIJR6KynTjyAGARqUyzRfBaCLY,
108,きのこかぞく歯科,8179-865-8339,663-8113,兵庫県,西宮市,甲子園口５丁目１４−１７,https://www.kinoko-dental.com/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f3f11858d30d:0xc0aff1f817c8f57,4.3,歯科医院,34.7346862,135.3674121,ChIJDdNYGPHzAGARV498gR__Cgw,
109,岩城歯科医院,8179-867-5100,663-8112,兵庫県,西宮市,甲子園口北町１４−１３,http://www.iwakidental.justhpbs.jp/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f1f8531f4b0b:0x2d8cb20c14579bd1,5,歯科医院,34.7405316,135.37679989999998,ChIJC0sfU_jxAGAR0ZtXFAyyjC0,
110,阪神甲子園歯科.,8179-861-6701,663-8176,兵庫県,西宮市,甲子園六番町１８−１６ 甲子園クリニックセンタ,https://hanshin-koshien-dental.com/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000ed006b543b07:0x2ceaa63c15217e82,4.8,歯科医院,34.724151,135.3645489,ChIJBztUawDtAGARgn4hFTym6iw,
111,西宮北口駅前歯科 ママとこどものはいしゃさん,8179-831-3580,662-0833,兵庫県,西宮市,北昭和町２−１９,https://mamatokodomo-nishikita.com/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f300e4225277:0x9dd5be7ca8d3a4ab,5,歯科医院;矯正歯科;小児歯科医,34.7476723,135.3543618,ChIJd1Ii5ADzAGARq6TTqHy-1Z0,
112,甲子園口しまはら歯科,8179-842-8300,663-8101,兵庫県,西宮市,松山町１３−２５ 甲子園口グリーンプレイス 2F,https://ks-dc.jp/#utm_source=google&utm_medium=gmb,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f316d66692b3:0xe7b26601524d8a25,4.6,歯科医院;美容歯科医;インプラント/歯周病専門医;クリニック・医院・診療所;矯正歯科;小児歯科医,34.7463566,135.373212,ChIJs5Jm1hbzAGARJYpNUgFmsuc,
113,いのうえ歯科医院｜甲子園口/西宮《歯医者・審美歯科》,8179-867-1882,663-8113,兵庫県,西宮市,甲子園口２丁目１５−３４ 歯医者,https://www.inoue-dentalclinic.com/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f201eff75d0d:0xced625bad2ce5c24,3.3,歯科医院;美容歯科医,34.735968299999996,135.3739299,ChIJDV337wHyAGARJFzO0rol1s4,
114,和田歯科医院,8179-867-1233,663-8113,兵庫県,西宮市,甲子園口２丁目１０−１７,http://www7b.biglobe.ne.jp/~wadashika/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f1ff44aa5ba5:0xce6a63e402ab7647,4.1,歯科医院;美容歯科医;口腔外科医;小児歯科医,34.7363107,135.3752303,ChIJpVuqRP_xAGARR3arAuRjas4,
115,西宮北口アネックスデンタルクリニック・矯正歯科,8179-881-3381,663-8033,兵庫県,西宮市,高木東町１５−１ 上山ビル,https://nakatsuhama-annex.com/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f35ade69a9d5:0x26717d84ab9e4ec2,5,歯科医院,34.7508783,135.3641442,ChIJ1alp3lrzAGARwk6eq4R9cSY,
116,川口歯科医院,8179-841-1632,663-8165,兵庫県,西宮市,甲子園浦風町１９−３,https://kawaguchi-dent.com/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000edf70660b1f7:0xd6c22548215f7ff1,3.5,歯科医院,34.7247895,135.36325639999998,ChIJ97FgBvftAGAR8X9fIUglwtY,
117,医療法人あおば西宮北口 あおばヒロ歯科クリニック,8179-867-6480,663-8204,兵庫県,西宮市,高松町１９−９ プレミスト西宮北口 2F,http://www.aobahiro-dc.com/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f392e5b98a5f:0x7f053666e1cdaeb3,4.5,歯科医院;美容歯科医;口腔外科医;矯正歯科;小児歯科医,34.745454599999995,135.36034469999998,ChIJX4q55ZLzAGARs67N4WY2BX8,
118,オクノ歯科医院,8179-841-1155,663-8114,兵庫県,西宮市,２ 上甲子園１丁目２−２３-２０１ ルモン上甲子園２F,https://www.okuno-shika-nishinomiya.com/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f2013ba82c2f:0x5dcca38bb0dd0988,4.6,歯科医院,34.7337492,135.3708371,ChIJLyyoOwHyAGARiAndsIujzF0,
119,歯科岡医院,8179-867-4460,663-8035,兵庫県,西宮市,北口町７−５,http://www.oka-dental.jp/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000f238fc4ba693:0xbfc397223137c854,4.3,歯科医院;口腔外科医;矯正歯科;小児歯科医;歯周病専門医,34.7487893,135.3579267,ChIJk6ZL_DjyAGARVMg3MSKXw78,
120,甲子園矯正歯科 伊藤歯科クリニック ママとこどもの歯医者さん甲子園院,8179-847-2221,663-8152,兵庫県,西宮市,甲子園町３−２−４,https://itoshika.jp/,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x6000edf51f93028d:0xaf223587e2d8e2a4,4.8,歯科医院;矯正歯科;小児歯科医,34.7207613,135.35975729999998,ChIJjQKTH_XtAGARpOLY4oc1Iq8,
