施設ID,施設GID,施設FID
200835,ChIJj28XZe92A2AR49oU_nTSq3M,0x600376ef65176f8f:0x73abd274fe14dae3
202678,ChIJ5YXikU4GVDURKv0HZvB2Mas,0x3554064e91e285e5:0xab3176f06607fd2a
202387,ChIJZeTV5ksGVDURSeOkPqPVKfg,0x3554064be6d5e465:0xf829d5a33ea4e349
203321,ChIJ56Na7akhAWARPlmlexPh_Ws,0x600121a9ed5aa3e7:0x6bfde1137ba5593e
200706,ChIJVwxh9rYzB2AR7cm-XPXMZJ8,0x600733b6f6610c57:0x9f64ccf55cbec9ed
203130,ChIJr52f68_iAGARL7oYaqfduY4,0x6000e2cfeb9f9daf:0x8eb9dda76a18ba2f
202294,ChIJVaHLxTEGVDUR0ViGNUGnGHg,0x35540631c5cba155:0x7818a741358658d1
203217,ChIJaVcFjaUHVDURFdEgy2YgH6E,0x355407a58d055769:0xa11f2066cb20d115
202202,ChIJa-IsJkPzGGARPdo2wLb-Nxo,0x6018f343262ce26b:0x1a37feb6c036da3d
202059,ChIJ-_HlWkXjAGARrZ7-bM9USSQ,0x6000e3455ae5f1fb:0x244954cf6cfe9ead
202453,ChIJ911k71k8AWARjo39cZKTfbw,0x60013c59ef645df7:0xbc7d939271fd8d8e
202551,ChIJv0RB6Lv6AGAR3EwwL_yBPRU,0x6000fabbe84144bf:0x153d81fc2f304cdc
202461,ChIJq-S634_mAGAR9Pr0NM95e9w,0x6000e68fdfbae4ab:0xdc7b79cf34f4faf4
201975,ChIJKX1qRkQqImAR9BNBpcCBPHU,0x60222a44466a7d29:0x753c81c0a54113f4
202643,ChIJi8NJkst6ImARxECFT4kUhso,0x60227acb9249c38b:0xca8614894f8540c4
202074,ChIJERyXPRZtImARAIxnrS01NvQ,0x60226d163d971c11:0xf436352dad678c00
201074,ChIJUQx0KzpFBGARMyW6OJSxLCU,0x6004453a2b740c51:0x252cb19438ba2533
203094,ChIJkUOlzQMlImARcsaubWBgntc,0x60222503cda54391:0xd79e60606daec672
201827,ChIJ2zqZ2atfj18ROVORHnwLiFM,0x5f8f5fabd9993adb:0x53880b7c1e915339
203104,ChIJB0J3gSV2hV8Rv_zgx5eK4mQ,0x5f85762581774207:0x64e28a97c7e0fcbf
201285,ChIJSXX7vSptIGARzKJCasiwq2c,0x60206d2abdfb7549:0x67abb0c86a42a2cc
201652,ChIJRWTVbaMIAWARkSA-Z3Fsjco,0x600108a36dd56445:0xca8d6c71673e2091
202555,ChIJHZMgt8uFil8R_tZdT5hrAac,0x5f8a85cbb720931d:0xa7016b984f5dd6fe
203193,ChIJeapI1CIoil8RsIajOcBF3JY,0x5f8a2822d448aa79:0x96dc45c039a386b0
201965,ChIJn6mugSIoil8RUo7jj28TaXI,0x5f8a282281aea99f:0x7269136f8fe38e52
201966,ChIJ0fLm7ysoil8Rb1-LWlr3-4w,0x5f8a282befe6f2d1:0x8cfbf75a5a8b5f6f
202600,ChIJ9fyG3Ua9HWARwj8pFluCD2Q,0x601dbd46dd86fcf5:0x640f825b16293fc2
202483,ChIJN9kpBiIPHWARgkPzLdcMJko,0x601d0f220629d937:0x4a260cd72df34382
202596,ChIJ9RaRMFxVHGAREna99Nk-Y7c,0x601c555c309116f5:0xb7633ed9f4bd7612
201175,ChIJC5YsAAJPH2ARk-qZlZPck4Q,0x601f4f02002c960b:0x8493dc939599ea93
200723,ChIJRaXT-QeNHmARDB5S9nStoVk,0x601e8d07f9d3a545:0x59a1ad74f6521e0c
202541,ChIJ-_OpwYxnH2AR1P59g6MrEIo,0x601f678cc1a9f3fb:0x8a102ba3837dfed4
