施設ID,施設GID,施設FID
82096,ChIJc5Lm4JCbA2ARZBC20BAuiBY,0x60039b90e0e69273:0x16882e10d0b61064
49662,ChIJP78spldxA2ARA41ws1thS6A,0x60037157a62cbf3f:0xa04b615bb3708d03
49664,ChIJ4ai3NWlxA2AR_H7VVwDXj70,0x6003716935b7a8e1:0xbd8fd70057d57efc
49687,ChIJOSoaW0dxA2ARoVIR4FXoOHk,0x600371475b1a2a39:0x7938e855e01152a1
49691,ChIJkZ24iFBxA2AR8vA54QBcge0,0x6003715088b89d91:0xed815c00e139f0f2
49259,ChIJ97mGTltxA2ARAkAXoj32Fp8,0x6003715b4e86b9f7:0x9f16f63da2174002
49693,ChIJWT7H6UhxA2ARcPhTdXYuNww,0x60037148e9c73e59:0xc372e767553f870
49718,ChIJSaB-7FhxA2ARDWiD0q58iVs,0x60037158ec7ea049:0x5b897caed283680d
49679,ChIJ83GIMElxA2ARWyVR4F35em0,0x60037149308871f3:0x6d7af95de051255b
49699,ChIJWTo7SklxA2ARhWgZU8cYeb8,0x600371494a3b3a59:0xbf7918c753196885
49281,ChIJN_VNzcNzA2AR8trNRFMZ4xw,0x600373c3cd4df537:0x1ce3195344cddaf2
49655,ChIJ1V3lhw5xA2ARfTn70FFiEB4,0x6003710e87e55dd5:0x1e106251d0fb397d
49663,ChIJ6YJv4mpxA2ARtgbhdwcO0u4,0x6003716ae26f82e9:0xeed20e0777e106b6
49680,ChIJLeaAHq12A2ARO0hl_j7eLIE,0x600376ad1e80e62d:0x812cde3efe65483b
82097,ChIJNZwEWVdxA2AReiHvraAbzFA,0x6003715759049c35:0x50cc1ba0adef217a
49696,ChIJe-WlQjZxA2ARrByLtmXu60M,0x6003713642a5e57b:0x43ebee65b68b1cac
49698,ChIJEYFAdat2A2AR5Sux9m3F_WM,0x600376ab75408111:0x63fdc56df6b12be5
49737,ChIJ1-hGjTZxA2ARviK0QLJgiQA,0x600371368d46e8d7:0x8960b240b422be
49685,ChIJF0-IvlZxA2ARhmQoGWxzTdo,0x60037156be884f17:0xda4d736c19286486
82098,ChIJ97mGTltxA2AR-UOUKX4tmZQ,0x6003715b4e86b9f7:0x94992d7e299443f9
49712,ChIJrYKeghBxA2ARaFMaWHE5q0o,0x60037110829e82ad:0x4aab3971581a5368
82099,ChIJ5-gP7IJiA2ARNz-z6XMgz3g,0x60036282ec0fe8e7:0x78cf2073e9b33f37
51980,ChIJTyeXxZxiA2ARIlKz1NS8i9E,0x6003629cc597274f:0xd18bbcd4d4b35222
50587,ChIJdX_t1DZjA2ARNCfGifvcSC0,0x60036336d4ed7f75:0x2d48dcfb89c62734
50574,ChIJq-loSCNjA2ARI5RdQXRX86c,0x600363234868e9ab:0xa7f35774415d9423
50526,ChIJeVxgl9t8A2ARECUHTE7byjA,0x60037cdb97605c79:0x30cadb4e4c072510
