施設ID,施設GID,施設FID
ChIJr52f68_iAGARL7oYaqfduY4,ChIJr52f68_iAGARL7oYaqfduY4,0x6000e2cfeb9f9daf:0x8eb9dda76a18ba2f
ChIJVwxh9rYzB2AR7cm-XPXMZJ8,ChIJVwxh9rYzB2AR7cm-XPXMZJ8,0x600733b6f6610c57:0x9f64ccf55cbec9ed
ChIJj28XZe92A2AR49oU_nTSq3M,ChIJj28XZe92A2AR49oU_nTSq3M,0x600376ef65176f8f:0x73abd274fe14dae3
ChIJ56Na7akhAWARPlmlexPh_Ws,ChIJ56Na7akhAWARPlmlexPh_Ws,0x600121a9ed5aa3e7:0x6bfde1137ba5593e
ChIJZeTV5ksGVDURSeOkPqPVKfg,ChIJZeTV5ksGVDURSeOkPqPVKfg,0x3554064be6d5e465:0xf829d5a33ea4e349
ChIJaVcFjaUHVDURFdEgy2YgH6E,ChIJaVcFjaUHVDURFdEgy2YgH6E,0x355407a58d055769:0xa11f2066cb20d115
ChIJVaHLxTEGVDUR0ViGNUGnGHg,ChIJVaHLxTEGVDUR0ViGNUGnGHg,0x35540631c5cba155:0x7818a741358658d1
ChIJ5YXikU4GVDURKv0HZvB2Mas,ChIJ5YXikU4GVDURKv0HZvB2Mas,0x3554064e91e285e5:0xab3176f06607fd2a
ChIJRWTVbaMIAWARkSA-Z3Fsjco,ChIJRWTVbaMIAWARkSA-Z3Fsjco,0x600108a36dd56445:0xca8d6c71673e2091
ChIJSXX7vSptIGARzKJCasiwq2c,ChIJSXX7vSptIGARzKJCasiwq2c,0x60206d2abdfb7549:0x67abb0c86a42a2cc
ChIJ-_HlWkXjAGARrZ7-bM9USSQ,ChIJ-_HlWkXjAGARrZ7-bM9USSQ,0x6000e3455ae5f1fb:0x244954cf6cfe9ead
ChIJv0RB6Lv6AGAR3EwwL_yBPRU,ChIJv0RB6Lv6AGAR3EwwL_yBPRU,0x6000fabbe84144bf:0x153d81fc2f304cdc
ChIJq-S634_mAGAR9Pr0NM95e9w,ChIJq-S634_mAGAR9Pr0NM95e9w,0x6000e68fdfbae4ab:0xdc7b79cf34f4faf4
