施設ID,施設名,電話番号,郵便番号,都道府県,市区町村,住所,web,GoogleMap,ランク,カテゴリ,緯度,経度,施設GID
101,小さなお葬式 北41条ホール,0120-212-865,〒007-0841,北海道,札幌市, 東区北４１条東７丁目３−１７,https://www.osohshiki.jp/area/hokkaido/sapporo-shi/higashi-ku/sougijou/34736/?utm_source=google&utm_medium=maps,https://maps.google.com/?cid=4133113205812103531&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.8,#N/A,43.111129,141.35592169999998,ChIJmUu1T4svC18RawnoAJDEWzk
102,札幌斎場,0120-666-887,〒062-0934,北海道,札幌市, 豊平区平岸４条１５丁目３−１９,http://www.satsusai.jp/,https://maps.google.com/?cid=506684986032224660&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,3.3,斎場,43.0240978,141.3726448,ChIJUwDANWYqC18RlHl5bU8bCAc
103,札幌中央斎場,011-511-8844,〒064-0806,北海道,札幌市, 中央区南６条西２丁目１ 中央寺,https://www.hokkaisousai.jp/,https://maps.google.com/?cid=10660817641564965466&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,2.3,斎場,43.0533851,141.35632049999998,ChIJ-7hD5YYpC18RWoqyXCnV8pM
104,小さなお葬式 美香保ホール,0120-212-865,〒065-0019,北海道,札幌市, 東区北１９条東７丁目３−４３,https://www.osohshiki.jp/area/hokkaido/sapporo-shi/higashi-ku/sougijou/35687/?utm_source=google&utm_medium=maps,https://maps.google.com/?cid=16526336623601196883&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.5,#N/A,43.086067899999996,141.36127059999998,ChIJeYCG19wpC18RUx9HUJlXWeU
105,小さなお葬式 二十四軒ホール,0120-212-865,〒063-0803,北海道,札幌市, 西区二十四軒３条６丁目１−１２,https://www.osohshiki.jp/area/hokkaido/sapporo-shi/nishi-ku/sougijou/35031/?utm_source=google&utm_medium=maps,https://maps.google.com/?cid=4853093288887704068&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.8,#N/A,43.069701099999996,141.3100196,ChIJOcIerAEpC18RBNr7KaKmWUM
106,㈱第一葬祭,011-872-3284,〒003-0837,北海道,札幌市, 白石区北郷７条４丁目６−１３,http://www.daiichisousai.jp/,https://maps.google.com/?cid=12906757204583197285&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.2,斎場,43.0633349,141.423498,ChIJnaRP3PYrC18RZSplbUsDHrM
107,小さなお葬式 元町ホール,0120-212-865,〒065-0023,北海道,札幌市, 東区北２３条東２０丁目２−１７,https://www.osohshiki.jp/area/hokkaido/sapporo-shi/higashi-ku/sougijou/35597/?utm_source=google&utm_medium=maps,https://maps.google.com/?cid=15238478978781868925&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,5.0,#N/A,43.0943058,141.3821141,ChIJD5DbCiIvC18RffOM7-TzedM
108,北海斎場 豊平 / 北海葬祭,011-824-4444,〒062-0904,北海道,札幌市, 豊平区豊平４条３丁目２,https://www.hokkaisousai.jp/,https://maps.google.com/?cid=17810257581396783068&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.9,斎場,43.0513755,141.3695865,ChIJObAXbSsqC18R3O9cUei-Kvc
109,㈱遠藤葬礼社,0120-913-493,〒007-0834,北海道,札幌市, 東区北３４条東１丁目２−２６,https://endo-sourei.com/,https://maps.google.com/?cid=16633881574054149652&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.9,斎場,43.1021089,141.3469307,ChIJrQlPbLsoC18RFL5pWSlr1-Y
110,小さなお葬式 新川ホール,0120-212-865,〒001-0923,北海道,札幌市, 北区新川３条５丁目８−１０,https://www.osohshiki.jp/area/hokkaido/sapporo-shi/kita-ku/sougijou/34735/?utm_source=google&utm_medium=maps,https://maps.google.com/?cid=15372932261916579413&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.8,#N/A,43.1021666,141.3155921,ChIJdy9YTF8pC18RVRauY3GgV9U
