レビューID,施設ID,施設GID,レビュワー評価,レビュワー名,レビュー日時,レビュー本文,レビュー要約,レビューGID
101,103,ChIJmUu1T4svC18RawnoAJDEWzk,1,鷹鷲飛鳥,2025-10-13T03:02:19.549Z,"段取り決めの段階から
非常に不快な対応
偉そうな方はニタニタヘラヘラ
しかもかなり胡散臭い

出棺の際に
隣で洗車してる従業員
ぺちゃくちゃ談笑してる従業員
控え目に言って頭おかしい。
従業員の清潔感もない。

未だかつて酷いところ見たことない。

こんな所で故人を送りだすのは
故人に失礼。
さっさと潰れて下さい。",,Ci9DQUlRQUNvZENodHljRjlvT201VmEwbGZibU5QZFRsYVpYQkJSbUZCTTIxSExXYxAB
102,316,ChIJCeA-g50rC18R68C7Pq5LldI,5,k,2026-02-03T05:16:31.944Z,,,Ci9DQUlRQUNvZENodHljRjlvT2pWbVkwVTNOWG8xWkRVd2Ftb3lhRzVMTnkxMk5sRRAB
103,316,ChIJCeA-g50rC18R68C7Pq5LldI,5,鎌田佳代,2025-12-16T08:26:56.700Z,"全てが満足です。
紹介したいです。",,Ci9DQUlRQUNvZENodHljRjlvT25wbGJ6aFVNR295YVZoUU0zSkpUbFZMT0ZaaE1rRRAB
104,316,ChIJCeA-g50rC18R68C7Pq5LldI,5,中村峰子,2025-12-16T08:18:42.292Z,全てに　満足でした,,Ci9DQUlRQUNvZENodHljRjlvT25veVRVeHBiM2R0YVVsc2JXNXlPVzFDZFZWQ0xWRRAB
105,316,ChIJCeA-g50rC18R68C7Pq5LldI,5,。ちび,2025-11-02T05:46:02.734Z,お葬儀代金安くサービスいっぱいしてくれる社長さん。お客様さんの立場になって答えてくれます。安心出来ますよ。本当に何から何まで助かりました。今回は3回目でしたけど又社長にお願い致します　社長長生きして下さいね。,,ChdDSUhNMG9nS0VJQ0FnTUN3cXVLSHZnRRAB
106,316,ChIJCeA-g50rC18R68C7Pq5LldI,5,猫田チョッチョ,2025-10-21T08:30:31.611Z,"親類の葬儀で訪れました。家族葬向けの小さな斎場ですが、社長さんも社員さんも親切で相談にも気軽に乗って下さいました。
とても素敵な会社ですね。",,Ci9DQUlRQUNvZENodHljRjlvT2pGUGFFUlJhbmRWU0dOWU5rRXhNM1p4UjFGVUxVRRAB
107,316,ChIJCeA-g50rC18R68C7Pq5LldI,5,サザエバタバタ,2025-10-18T02:57:31.248Z,"先日家族の葬儀でお世話になりました。社長様、スタッフの皆様がとても優しく親切で、他で事務的な手続きが多い中とても救われました。葬儀内容もかなりご配慮頂き感謝しかないです。
クチコミ通りの信頼できる会社です。",,Ci9DQUlRQUNvZENodHljRjlvT21WVVZuUnNTRzAzYXpsUlgwb3hiMUpIUW1GVmVXYxAB
108,316,ChIJCeA-g50rC18R68C7Pq5LldI,5,橘春江,2025-10-05T10:05:31.616Z,,,Ci9DQUlRQUNvZENodHljRjlvT25nMlFXZEVabFEwTWxGVFVUVldUMGhOUm5aNFMwRRAB
109,316,ChIJCeA-g50rC18R68C7Pq5LldI,5,白龍皇,2025-09-15T04:46:48.654Z,初めて利用させてもらってもらったんですが、社長やスタッフさんがとても親切で詳しく教えていただき助かりました！特に、社長さんがユーモア溢れる方で、また、機会があれ必ずご利用させてもらいます！ 苫小牧,,Ci9DQUlRQUNvZENodHljRjlvT2paNFZVOW5OVXRLY1dGR1ozQkdSekpoZURSTFdsRRAB
110,337,ChIJd6doal0qC18Rpp_M4cW85Tg,5,サトウ佐藤,2026-02-07T09:52:08.537Z,遠い他県から私1人で家族を見送る為にお世話になりました。不安や悲しみやらある中、寄り添っていただき病院から納骨、そして宿まで送って頂き、安心感やらなんやら大変感謝しかありません。早坂様一期一会とはいいますが、本当に有難うございました。,,Ci9DQUlRQUNvZENodHljRjlvT201UlRWWkhVR28zYUVOUFlXTjZha1Y2Vm5ObFkzYxAB
111,143,ChIJBcavhz8oC18RnsMrrydJzd8,5,ニコ,2026-02-17T06:51:19.998Z,"姉とふたりで母を見送りました。
本当に小さなお葬式になりましたが、青砥様をはじめ他の皆様に本当に丁寧にご対応して頂きました。
おかげ様で安心して母を見送ることが出来ました。感謝しております。
本当にありがとうございました。",,Ci9DQUlRQUNvZENodHljRjlvT21sNVNuaHFkbU4zWTFrNVdtNTFaVWs0WTJoNmJWRRAB
112,143,ChIJBcavhz8oC18RnsMrrydJzd8,5,u f,2026-02-13T06:50:10.984Z,丁寧に対応して頂けました。,,Ci9DQUlRQUNvZENodHljRjlvT25KV2RXeHJOMDFmVEdGV2VtbGxlbnBDV2psZmRHYxAB
113,143,ChIJBcavhz8oC18RnsMrrydJzd8,5,川田芽依,2026-02-13T06:49:45.114Z,,,Ci9DQUlRQUNvZENodHljRjlvT25kaE0za3ljMWQyV1dGcFFrVk5YMkpOTlVaSVVVRRAB
114,143,ChIJBcavhz8oC18RnsMrrydJzd8,3,A I,2026-02-11T09:59:02.618Z,"一日葬で利用させていただきました。誠にありがとうございました。

一日葬での給仕、受付諸々、参列者への誘導、説明などのサービス（スタッフの方）をして欲しかったです！（難しかったら、プランの中に入れても良いかもしれません。）
会場（控え室）で就寝したとき、寒かったので、温かくして欲しいです！

火葬場に行く前にお家の前を通っていただけたのが、とても嬉し買ったです！
納棺師トキタさんの説明と手際が大変良かったです。親族からも好評でした。

一日、寒い中ありがとうございました。",,Ci9DQUlRQUNvZENodHljRjlvT20xcWRtWk1UMVZSU1cxSFVuRldlbVJrWmpoR2JXYxAB
115,137,ChIJI5m_xNYoC18Ry9EXi8nbt-c,4,M I,2026-02-15T05:44:36.002Z,,,Ci9DQUlRQUNvZENodHljRjlvT2xkSVJGVlpOVkpCT0RjMU56SmFhM0V4ZEZabFRrRRAB
116,137,ChIJI5m_xNYoC18Ry9EXi8nbt-c,5,・ω・ rikutama (rktm),2026-02-15T05:44:34.149Z,おせわになりました⊂((・x・))⊃,,Ci9DQUlRQUNvZENodHljRjlvT2pKM09GVkxhbkYyVTBWbU1HOVBla2RoU3pSWlJsRRAB
117,137,ChIJI5m_xNYoC18Ry9EXi8nbt-c,5,あぐ,2025-12-30T04:49:48.944Z,"納棺する際に競馬が大好きだった事を、私たちの会話で覚えてて下さっていて、ディアネスさんが馬券を大きく印刷した写真を用意して下さって父もきっと嬉しかったと思います。

とても親切にしていただき、ありがとうございました。
中の雰囲気も清潔感があり、綺麗でした。",,Ci9DQUlRQUNvZENodHljRjlvT205NlZuUllaWGd0VUZoQlVHdFVaMU15YzFJMU1VRRAB
118,137,ChIJI5m_xNYoC18Ry9EXi8nbt-c,5,工藤美和,2025-12-22T09:15:18.764Z,良かったです,,Ci9DQUlRQUNvZENodHljRjlvT2twQ1RFbFhSMVY2YUZkeVh6bERZazk1VDJoSWNGRRAB
119,137,ChIJI5m_xNYoC18Ry9EXi8nbt-c,5,Akio Fujita,2025-12-07T06:01:48.569Z,スタッフの対応がとても良かったです,,Ci9DQUlRQUNvZENodHljRjlvT2xkVlREQnZlbGx3YlhONlFqRnNOR2xDU21aNGRGRRAB
120,185,ChIJIcmsabkpC18RlEt5g3LqxCI,5,北の武器商人,2026-01-12T00:43:22.833Z,義父の葬儀で大変お世話になりました。わがままの多い親族にも親切丁寧にご対応して頂いた職員の方々には本当に感謝です。またお料理も自前で作られているとのこと、みんな大満足でした。いつも式場が一杯なのがよくわかりました。当然に、四十九日法要もやらせて頂く予定です。宜しくお願い申し上げます。,,Ci9DQUlRQUNvZENodHljRjlvT2pSd2JVWnZOVlpWTlVGWWFHeHNhRXAyYVRWNVZXYxAB
121,185,ChIJIcmsabkpC18RlEt5g3LqxCI,5,金谷智文,2026-01-08T22:44:08.810Z,,,Ci9DQUlRQUNvZENodHljRjlvT21kQ1RGOHpWM05hVm05SVZUQjNaako2VnpCTVYzYxAB
122,185,ChIJIcmsabkpC18RlEt5g3LqxCI,5,太一,2025-12-18T05:40:51.388Z,家族の葬儀でお世話になりました。落ち着いた雰囲気で親族で行うにはちょいど良い大きさの式場でした。スタッフの方々もよくしていただきました。ありがとうございました。,,Ci9DQUlRQUNvZENodHljRjlvT2tkMlExZHdkR2w2Tm1wTVJrSnZOMWx5TkhWSVJtYxAB
123,185,ChIJIcmsabkpC18RlEt5g3LqxCI,5,たかし,2025-12-15T06:00:13.365Z,"夜中に電話しましたが
嫌な顔ひとつせずにすぐに来てくれましたまた何かあればお願いしたいです",,Ci9DQUlRQUNvZENodHljRjlvT25OUlJ6RndZM0IyTVZkbGRrVlBVSEZMY2xZMVEwRRAB
124,185,ChIJIcmsabkpC18RlEt5g3LqxCI,5,mm,2025-12-13T09:02:09.003Z,"父の葬儀でお世話になりました。
葬儀を執り行うのは初めてでしたが、スタッフの方々に親切・丁寧に対応していただき、不安無く終えることが出来ました。
祭壇は奥行きがあって見栄えが良く豪華な印象で、休憩室なども綺麗で、宿泊する際の風呂もあり、親戚からはセンスがあると、凄く好評でした。今回、少人数での葬儀でしたが、会場や控え室などの広さも丁度良かったと思います。
あと、ベルコさんの保険にも入っていて金銭的にも大きな負担をしなくて済んだので、とても助かりました。
またお願いしたいと思います。",,Ci9DQUlRQUNvZENodHljRjlvT21oR1dXbHRWM0ZqV1V0dFR6UlhjbUpHY2s1eFIwRRAB
125,185,ChIJIcmsabkpC18RlEt5g3LqxCI,5,楢山芳光,2025-11-07T02:08:06.252Z,,,Ci9DQUlRQUNvZENodHljRjlvT2toWE5XRnViVXhYZUVNNGRVVmtURWN4WjJwZlVGRRAB
126,465,ChIJZz9YDZjoDF8RfLiLMHGTHtk,5,こんのゆうき,2025-09-21T04:36:20.127Z,自分の祖父が亡くなった時に利用させて頂きました。家族みんなの気持ちが落ち込んでいる時に、こちらのことを配慮しながら、分からないことを沢山教えて頂き、祖父の色々な話を聞いて貰ったり、とても感謝しています。もしまた何かあればお頼みしたいですし、周りの方たちにも教えてあげようと思います,,Ci9DQUlRQUNvZENodHljRjlvT2t0MWEwUk5aMGwzVURkNWRuaDVSbkp5U1VWblZrRRAB
127,117,ChIJ09qFC_4rC18RhcGOdE4rNVA,1,あちゃみ,2026-02-27T11:48:00.802Z,通りかかって、ネーミングに寒気がしました。人の最期を扱うには、あまりにもひどいのではないでしょうか。,,Ci9DQUlRQUNvZENodHljRjlvT2tJMGJVOVJhbUZwYUMxcGQzQlNkME4xVDJWUFoxRRAB
128,247,ChIJW8z9cWYpC18RdKX_s4jsIuE,5,Ryo Sasaki,2025-09-29T05:26:00.833Z,"とても良い葬儀場だと思います。
料金プランが明確で、打合せ時にわかりやすく説明してくれました。
仕様変更なども柔軟に対応していただきました。
施設も綺麗です。ベッドルームなどホテルのような部屋があり過ごしやすかったです。
スタッフの方々も代表の方をはじめ大変気持ちの良い人々でした。
感謝",,Ci9DQUlRQUNvZENodHljRjlvT21WVVYyUkhhRkJaVTJ0RWJFbDBObTg1UjJKNVRsRRAB
