レビューID,施設ID,施設GID,レビュワー評価,レビュワー名,レビュー日時,レビュー本文,レビュー要約,レビューGID
101,,,5.0,Y hayate,2 か月前,カウンセラーの方が最後まで見捨てず、温かい指導のおかげで成婚へとなりました！,AI要約は停止中,Ci9DQUlRQUNvZENodHljRjlvT2s1S1gxOVJOVkZXTjNoNVVWSm1kSE54YTBSbWNYYxAB
102,,,5.0,星月めいや（めいや）,1 年前,去年の3月末からお世話になり、今年9月に成婚へとなりました。スタッフの方々いろいろ親身になって対応して頂き本当に、ありがとうございますm(__)mこの御縁をたいせにしていきたいと思います。,AI要約は停止中,ChdDSUhNMG9nS0VJQ0FnSUNYaEt6c213RRAB
103,,,5.0,堀川尊仁,1 年前,入会前は女性との会話が苦手でしたが、的確なカウセリングをして頂き､女性と会話ができるようになりました。そのおかげで無事に成婚でき､家を購入したり新婚旅行にも行くことができました。今では妻と過ごす時間が楽しいので､仕事が終わったらまっすぐ家に帰る日々です。,AI要約は停止中,ChZDSUhNMG9nS0VJQ0FnSUMxaVB5d0ZREAE
104,,,5.0,はなはな,4 年前,"歳を重ねるにつれ、親や周りの方からも結婚の話をされることが多く悩んでいました。
今回は無料相談で、入会後の流や登録されてる方々のお話も聞けました。
自分で考えていたよりも挑戦しやすいと思い、前向きに進めたいと思います。
今回は色々と教えて下さりありがとうございました。",AI要約は停止中,ChZDSUhNMG9nS0VJQ0FnSURHbDUtMFN3EAE
105,,,5.0,saito,3 年前,"値段の事書かれている方いますが、恐らく、他の相談所をご存じ無いのでしょう。大手はもちろんのこと、個人でされているところと比べても良心的だと思いますよ。
よくある出会い系サイトなどで出会うよりは断然こちらでお願いした方が良いと思います。",AI要約は停止中,ChdDSUhNMG9nS0VJQ0FnSUN1Nklud2h3RRAB
106,,,5.0,Yuri H,6 年前,他のところと比べてもお値段もリーズナブルですし、安心できます👍大阪支部では女性限定で対応してくださるみたいです(^ ^),AI要約は停止中,ChZDSUhNMG9nS0VJQ0FnSURFLXZxdURnEAE
107,,,5.0,t.m,6 年前,とても親身になってご相談にのってくださいました。周りにもおすすめしたいと思います。,AI要約は停止中,ChdDSUhNMG9nS0VJQ0FnSURZMTRxT3ZnRRAB
108,,,3.0,一夫西口,6 年前,,AI要約は停止中,ChdDSUhNMG9nS0VJQ0FnSUNFNHV1cy13RRAB
109,,,5.0,ue-y,最終編集: 1 年前,相談しやすいので活動が続けられています。,AI要約は停止中,ChdDSUhNMG9nS0VJQ0FnSURGdW9HVnZRRRAB
110,,,5.0,ちょこぱんうーまん,1 年前,"スタッフの方々がしっかりサポートをしてくれて安心して婚活できますよ。
自分の考えが纏まらず迷っていたらしっかり親身にお話を聞いてもらえます。",AI要約は停止中,ChZDSUhNMG9nS0VJQ0FnSUROOHBuUEhBEAE
111,,,1.0,東條英樹,2 年前,"入会したらほとんど放置状態です。紹介もほとんどありません。
担当者とはサイトのメール、会社の電話のやり取りのみで営業時間外、定休日、担当の休みなど連絡を取れる時間が限られておりとても不便でした。あとプロフィール作成も適当というかほとんどアドバイスらしきものはしてもらえませんでした。",AI要約は停止中,ChZDSUhNMG9nS0VJQ0FnSUNaeUphYkNREAE
