レビューID,施設ID,施設GID,レビュワー評価,レビュワー名,レビュー日時,レビュー本文,レビュー要約,レビューGID
198,,,5.0,リャンサン,2 年前,"こちらで成婚退会した者です。
丁寧で、的確なアドバイスをして頂き結婚することができました。ありがとうございます。",AI要約は停止中,ChZDSUhNMG9nS0VJQ0FnSUNocS1yMFhBEAE
199,,,5.0,yuka,2 年前,"2022年10月に入会し、3ヶ月で成婚できました。
退会手続きのときに、お祝いで可愛いお花もいただいちゃいました。
カウンセラーさんがとても優しく温かいサポートをしてくださいます。地域密着型で実績のある老舗の相談所なので、とても安心できました。いろんな相談所がたくさんありますが、ここにしてよかったです。
リーズナブルですがお値段以上の活動とサポートが受けられるのでおすすめです。",AI要約は停止中,ChdDSUhNMG9nS0VJQ0FnSURCczluV2tBRRAB
200,,,5.0,Tomoya,3 年前,"こちらでお世話になり無事成婚することが出来ました。
活動中は親身に相談を受けて下さりありがとうございました。
オススメ出来る親切な結婚相談所だと思います。",AI要約は停止中,ChZDSUhNMG9nS0VJQ0FnSUN1c1lfa0JREAE
201,,,5.0,Dしんべえ,3 年前,たくさんのサポートをしていただき、結婚することができました。カウンセラーさんも親身に話を聞いていただき安心して婚活をすることができました。感謝の気持ちでいっぱいです。ありがとうございます。,AI要約は停止中,ChdDSUhNMG9nS0VJQ0FnSUNPNFpqYXFRRRAB
202,,,5.0,Takatoshi Nagao,3 年前,,AI要約は停止中,ChdDSUhNMG9nS0VJQ0FnSUNPak9DYnVnRRAB
203,,,5.0,松田鉄郎,3 年前,"ここは、申し込んだらすぐ入会ではなく、しっかり説明を受け、自分が納得した上で、入会できるので、本気で婚活したいと思ってる人にはオススメです。

おかげさまで、いいお相手が見つかりました。",AI要約は停止中,ChdDSUhNMG9nS0VJQ0FnSUQyOTdxaG9BRRAB
204,,,5.0,Y S,3 年前,"こちらで婚活をさせて頂き、無事に3ヶ月で素敵な方とご縁が繋がり成婚退会致しました。
カウンセラーさんはとても優しく、具体的かつ的確にアドバイスして下さるので、どんな相手が自分に合うのか分からないと思う方にはとてもオススメだと思います。
面談もメールでの相談も丁寧に返してくださるので、とても心強かったです。",AI要約は停止中,ChdDSUhNMG9nS0VJQ0FnSUMyNU43MjhRRRAB
205,,,2.0,h ni,最終編集: 3 年前,"以前こちらでお世話になりました。
入会時社長？の男性が感じ良く説明してくれましたが、
一度持ち帰って検討したいと伝えると「一人で決められない人は入会お断り」と言われ他社より価格が安かったのでそのまま入会。
その後半年程活動しましたが一度もカウンセリングして貰ったことはなく、女性スタッフにお姉さんだと思って相談して！っと入会時に言ってもらったので、
メールで相談してもスルー。
お値段からしたら仕方ない対応かと思いました。
サポートを望まれる方は別の相談所へ、
ご自身でしっかり活動できる方はこちらが向いていると思います。",AI要約は停止中,ChdDSUhNMG9nS0VJQ0FnSUNncGVxcmxBRRAB
206,,,5.0,yoshi aoi,最終編集: 4 年前,成婚者です。違う人が投稿している密室なんて無いです。スタッフさんもみんな感じのいい人達で私は利用して本当に良かったです。感謝しています。,AI要約は停止中,ChdDSUhNMG9nS0VJQ0FnSURDa3RERjR3RRAB
207,,,1.0,kellbis,4 年前,"社長が偉そうな事言って来ますが実質何もしてくれないので10万円をドブに捨てるようなものです。
女性会員が痛い勘違いと高望みをする限り婚姻率は上がりません。
IBJ連盟なので古くさい価値観が横行しがち。行くだけ無駄です",AI要約は停止中,ChZDSUhNMG9nS0VJQ0FnSUM2X3RQcEJREAE
