施設ID,施設名,電話番号,郵便番号,都道府県,市区町村,住所,web,GoogleMap,ランク,カテゴリ,緯度,経度,施設GID
101,札幌中央斎場,011-511-8844,〒064-0806,北海道,札幌市,中央区南６条西２丁目１ 中央寺,https://www.hokkaisousai.jp/,https://www.google.com/maps?cid=10660817641564965466&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,2.3,斎場,43.0533851,141.3563205,ChIJ-7hD5YYpC18RWoqyXCnV8pM
103,小さなお葬式 北41条ホール,0120-212-865,〒007-0841,北海道,札幌市,東区北４１条東７丁目３?１７,https://www.osohshiki.jp/area/hokkaido/sapporo-shi/higashi-ku/sougijou/34736/?utm_source=google&utm_medium=maps,https://www.google.com/maps?cid=4133113205812103531&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.8,,43.111129,141.3559217,ChIJmUu1T4svC18RawnoAJDEWzk
104,㈱第一葬祭,011-872-3284,〒003-0837,北海道,札幌市,白石区北郷７条４丁目６?１３,http://www.daiichisousai.jp/,https://www.google.com/maps?cid=12906757204583197285&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.2,斎場,43.0633349,141.423498,ChIJnaRP3PYrC18RZSplbUsDHrM
105,札幌斎場,0120-666-887,〒062-0934,北海道,札幌市,豊平区平岸４条１５丁目３?１９,http://www.satsusai.jp/,https://www.google.com/maps?cid=506684986032224660&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,3.3,斎場,43.0240978,141.3726448,ChIJUwDANWYqC18RlHl5bU8bCAc
109,こもれび斎場 創成川ホール,0120-234-949,〒065-0022,北海道,札幌市,東区北２２条東１丁目１?１０,https://komorebi-saijyo.com/,https://www.google.com/maps?cid=16015042202135879850&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.8,斎場,43.0887877,141.3491156,ChIJsbHB3x8pC18RquAyEQjcQN4
111,㈱遠藤葬礼社,0120-913-493,〒007-0834,北海道,札幌市,東区北３４条東１丁目２?２６,https://endo-sourei.com/,https://www.google.com/maps?cid=16633881574054149652&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.9,斎場,43.1021089,141.3469307,ChIJrQlPbLsoC18RFL5pWSlr1-Y
112,北海斎場 手稲 / 北海葬祭,011-683-4444,〒006-0012,北海道,札幌市,手稲区富丘２条５丁目１?３０,http://www.hokkaisousai.jp/,https://www.google.com/maps?cid=7224367732054748032&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.9,斎場,43.1109712,141.2490092,ChIJZ6BSUMcnC18RgOvqCy0cQmQ
117,札幌市民直葬センター,011-837-1110,〒003-0803,北海道,札幌市,白石区菊水３条５丁目４?１０,https://www.chokuso-center.com/,https://www.google.com/maps?cid=5779573312762855813&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,2.9,斎場,43.0547762,141.3800398,ChIJ09qFC_4rC18RhcGOdE4rNVA
118,ファミリーホール美香保,0120-401-594,〒065-0021,北海道,札幌市,東区北２１条東１丁目２?２５,https://ceremony-select.com/,https://www.google.com/maps?cid=1096312714243812426&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.8,,43.0874547,141.3503831,ChIJ1Rp_es8pC18RSiw_55riNg8
119,小さなお葬式 豊平ホール,0120-212-865,〒062-0902,北海道,札幌市,豊平区豊平２条７丁目１?２４,https://ceremonyhouse.info/hokkaido/sapporo-shi/ceremonyhouse_toyohira/,https://www.google.com/maps?cid=13788512380560429564&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,,43.0506478,141.3753509,ChIJM5mcozcrC18R_FFhmPSiWr8
120,黄光ホール,#N/A ,〒003-0021,北海道,札幌市,白石区栄通１１丁目１?１ 栄通１１ハイツ,http://koukousha.net/,https://www.google.com/maps?cid=7229228950557132687&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.9,斎場,43.0337213,141.4147019,ChIJOVXpr6krC18Rj4ftrW1hU2Q
122,コープの家族葬 ウィズハウス 南郷7丁目,0120-323-099,〒003-0022,北海道,札幌市,白石区南郷通７丁目南５?５番16号,https://with-house.jp/area/sapporo/shiroishi/nangou/?utm_source=gbp&utm_medium=google&utm_campaign=maps,https://www.google.com/maps?cid=14994384458941597840&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.8,,43.0400033,141.411011,ChIJRYGwUKUrC18RkAjaxDjBFtA
126,家族葬のファミーユ 北37条東ホール,0120-511-355,〒007-0837,北海道,札幌市,東区北３７条東１丁目７?１,https://www.famille-kazokusou.com/search_area/hokkaido/sapporo/post-1108.html?utm_source=google&utm_medium=maps,https://www.google.com/maps?cid=5609482906431960872&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,5,斎場,43.1050388,141.3467925,ChIJsRQbviYpC18RKLeAq_vi2E0
128,やわらぎ斎場 センティア28,0120-600-300,〒060-0062,北海道,札幌市,中央区南２条西８丁目１２?１,https://www.yawaragisaijyo.com/hall/tyuoh/?utm_source=google&utm_medium=business&utm_campaign=hall_ct28,https://www.google.com/maps?cid=13870864693236364774&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,2.5,斎場,43.0571322,141.3450969,ChIJU9-2o5opC18R5nXcj_I1f8A
129,南郷齋場｜㈱公益社,011-861-4242,〒003-0023,北海道,札幌市,白石区南郷通１５丁目北８?２７ 公益社南郷斎場,http://www.sp-kouekisha.co.jp/hall/nango.html,https://www.google.com/maps?cid=13667806445953983876&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.1,,43.0339676,141.4277618,ChIJ41r6cwkrC18RhKXhJYzNrb0
130,おくりびとのお葬式 豊平店,0120-288-725,〒062-0936,北海道,札幌市,豊平区平岸６条９丁目３?２５,https://www.okuribito-osousiki.com/alt-lp/sapporo?utm_source=gmap&utm_area=toyohira,https://www.google.com/maps?cid=11664538810787172785&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.8,,43.0323327,141.3807368,ChIJ62D4uEUqC18RsRG6PT_E4KE
137,東区博善斎場 / ㈱博善社,011-731-1111,〒065-0028,北海道,札幌市,東区北２８条東８丁目２?１,http://www.hakuzensha-sapporo.jp/hall/higashiku.htm,https://www.google.com/maps?cid=16697055802167906763&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,5,斎場,43.097819,141.3598223,ChIJI5m_xNYoC18Ry9EXi8nbt-c
143,西区博善斎場｜㈱博善社,011-665-1111,〒063-0061,北海道,札幌市,西区西町北１２丁目１?３,https://www.hakuzensha-sapporo.jp/hall/nishiku.htm,https://www.google.com/maps?cid=16126626275475047326&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4,斎場,43.0819733,141.2847748,ChIJBcavhz8oC18RnsMrrydJzd8
185,北円山ホール （株）ベルコ,011-612-4444,〒060-0005,北海道,札幌市,中央区北５条西２２丁目４?１２,https://www.bellco.co.jp/sougi/halllist/765,https://www.google.com/maps?cid=2505385070277774228&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,3.2,斎場,43.0639409,141.3222278,ChIJIcmsabkpC18RlEt5g3LqxCI
196,ほくそうホール新川,011-763-2424,〒001-0922,北海道,札幌市,北区新川２条４丁目８?３０,http://www.sapporo-hokusou.co.jp/,https://www.google.com/maps?cid=5994306537716690484&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.2,斎場,43.0990476,141.3178311,ChIJCXbCk5IoC18RNK5nbwkOMFM
208,麻生齋場,011-707-4444,〒001-0040,北海道,札幌市,北区北４０条西６丁目３?３０,https://asabusaijyo.com/,https://www.google.com/maps?cid=2400083367419874957&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4,斎場,43.109837,141.336261,ChIJIeC-ArooC18RjY5iQhvPTiE
216,葬儀の相談室 北円山,011-621-1133,#N/A ,#N/A ,#N/A ,,https://www.sougisoudan.jp/,https://www.google.com/maps?cid=16288884786614693249&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,斎場,43.0631233,141.322365,ChIJEWNuN7kpC18Rge1uRWm-DeI
230,㈱セレモニーサポート,011-773-4499,〒002-0853,北海道,札幌市,北区屯田３条３丁目４?８,https://www.sapporo-sougi.jp/,https://www.google.com/maps?cid=8332763854525352338&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.7,斎場,43.1256577,141.336861,ChIJPWARh1UvC18RkskyqpPso3M
241,㈱石狩葬儀社,0133-76-1818,〒061-3216,北海道,石狩市,花川北６条２丁目１４３,http://www.ishisou.com/,https://www.google.com/maps?cid=11749165889545778913&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,,43.170137,141.319497,ChIJI9e2EFAkC18R4TaDdSBsDaM
246,栄公社めもり,011-855-5444,〒062-0055,北海道,札幌市,豊平区月寒東５条５丁目１?４ 205,https://www.eikousha-5444.com/,https://www.google.com/maps?cid=8404935000976929177&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,5,斎場,43.0369412,141.4038016,ChIJkceXi3krC18RmTF6JdpTpHQ
247,家族葬クラッセ with メモリエ,011-218-4444,〒060-0032,北海道,札幌市,中央区北２条東１３丁目26?４３ 蔵ノ湯敷地内,https://memoriae.jp/,https://www.google.com/maps?cid=16222788879621530996&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.4,斎場,43.0673382,141.3775287,ChIJW8z9cWYpC18RdKX_s4jsIuE
248,札幌市のお葬式 家族葬 メモリアホール厚別,0120-918-835,〒004-0031,北海道,札幌市,厚別区上野幌１条３丁目１?５,https://memoria38.com/,https://www.google.com/maps?cid=1218213839651332143&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.6,斎場,43.0214745,141.4722502,ChIJB0HxEE8rC18RL-DhZAj35xA
249,セレモニーホールフェアウェル札幌,011-789-4444,〒007-0834,北海道,札幌市,東区北３４条東２２丁目１?３３,https://farewell-sapporo.jp/,https://www.google.com/maps?cid=1885672920715999987&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,2.9,斎場,43.1034716,141.3796356,ChIJ-eZJpikvC18R87rZ2YdBKxo
250,ファミリーホール天翔,011-883-2322,〒004-0801,北海道,札幌市,清田区里塚１条２丁目１６?１２,https://ten-shou.com/,https://www.google.com/maps?cid=12113341215388446010&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.3,斎場,42.9895928,141.4592018,ChIJPTbGtCPVdF8ROq1T-qc7G6g
255,ファミリア北十二条 / ファミリア飛内㈱,011-716-8750,〒001-0012,北海道,札幌市,北区北１２条西４丁目２?２,http://sousai.co.jp/,https://www.google.com/maps?cid=9098278208154770993&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,5,斎場,43.0754288,141.3479709,ChIJn6p5Ag8pC18RMR6-WNOTQ34
263,LLC あいあいホール／㈱ロータス ライフ カンパニー,0120-778-125,〒002-8074,北海道,札幌市,北区あいの里４条６丁目１７?１７,https://llc2.jp/,https://www.google.com/maps?cid=4684589057490271696&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,4.8,斎場,43.1662009,141.4045077,ChIJ2aruDE8lC18R0L1jgu0AA0E
268,㈱ディアネス,011-726-8080,〒001-0024,北海道,札幌市,北区北２４条西１６丁目３?１５,http://www.cpshokushin.com/,https://www.google.com/maps?cid=1220525472195834880&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,3.5,斎場,43.0906593,141.3245857,ChIJPbpODY8oC18RAHSMSXMt8BA
270,てんぱん斎場 ㈱北海道典範,0120-444-983,〒007-0851,北海道,札幌市,東区北５１条東２丁目２?２７,https://www.tenpan.co.jp/,https://www.google.com/maps?cid=15570520782943650824&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,3.8,斎場,43.1220349,141.3451564,ChIJE5T9xFMvC18RCIQx6yeaFdg
271,北日本葬祭㈱ 鳩苑,011-661-3351,〒063-0827,北海道,札幌市,西区発寒７条５丁目７?２０ 北日本葬祭 鳩苑,https://www.kitanihon-kyuen.com/,https://www.google.com/maps?cid=15373452888203953719&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,斎場,43.0908961,141.2891939,ChIJvQiqrWgoC18RN4aZJPN5WdU
276,ハート倶楽部 石狩記念斎場,0133-74-4194,〒061-3205,北海道,石狩市,花川南５条５丁目１?５,https://heartclub-sapporo.co.jp/,https://www.google.com/maps?cid=7637252547311610789&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,3,斎場,43.1430613,141.2983616,ChIJw_n413kmC18Rpat0Vrr4_Gk
283,はなほとり,0133-60-4605,〒061-3281,北海道,石狩市,花畔１条１丁目４２ 42番地,https://hanahotori.jimdofree.com/,https://www.google.com/maps?cid=7983084866677412318&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQABgEIAA,#N/A ,,43.1754408,141.3180732,ChIJc-DwNPolC18R3pEa2mOdyW4
